	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 5000 probes.

woodworking-opt08-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
45		1			1
60		2			2
65		3			3
70		6			6
75		21			21
80		51			51.0552
85		164			166.469
90		544			577.642
95		1840			1907.79
100		6534			6756.97
105		25210			27014.8
110		87304			89296.2
115		292929			345560
120		1.05684e+06			1.52559e+06
125		3.71145e+06			3.79574e+06
130		1.23204e+07			1.27688e+07
135		4.22435e+07			4.58898e+07
140		1.46621e+08			2.12265e+08

p19.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
60		1			1
80		3			3
90		36			36.024
95		52			51.5788
100		241			239.013
105		542			535.327
110		3627			3857.26
115		13592			15587.6
120		94476			104437
125		471028			529518
130		2.99274e+06			3.94394e+06

p29.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
105		1			1
110		4			4
115		10			10
125		95			94.9912
130		122			121.674
135		1931			1986.84
140		3117			3176.43
145		42142			44275.6
150		93440			109762
155		937140			1.02887e+06
160		2.91348e+06			3.97585e+06

p18.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
75		1			1
90		2			2
100		4			4
105		30			30.044
110		40			40.776
115		158			158.752
120		289			296.653
125		1066			1047.46
130		2833			2928.54
135		15718			17781.9
140		56151			62739.8
145		336669			456929
150		1.47149e+06			1.22815e+06
155		8.52781e+06			6.78765e+06

p15.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
75		1			1
80		2			2
85		5			5
90		10			9.9864
95		51			51.0044
100		106			106.043
105		799			832.606
110		2140			2197.55
115		17107			18890.5
120		60635			67097.8
125		414691			486985
130		1.74888e+06			1.78398e+06
135		1.03788e+07			1.22608e+07
140		4.76053e+07			4.79946e+07

p25.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
105		1			1
110		2			2
115		4			4
125		34			34
130		45			44.9216
135		737			751.111
140		1335			1333.92
145		17311			19786.5
150		45493			49012.6
155		428681			510160
160		1.57649e+06			1.65761e+06
165		1.07909e+07			1.29282e+07

p12.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
60		1			1
70		3			3
80		13			13.0776
90		67			67.1208
95		76			75.9768
100		134			129.584
105		425			411.17
110		916			912.635
115		1085			1202.88
120		2604			2296.82
125		5886			5927.45
130		9824			9848.38
135		21254			21731.9
140		38992			40451.4
145		71511			73063.2
150		149981			137203
155		317716			343866
160		528952			516959
165		1.10564e+06			1.01628e+06
170		2.30967e+06			2.21729e+06
175		4.23023e+06			4.27639e+06
180		8.30342e+06			8.89861e+06
185		1.74681e+07			1.65349e+07
190		3.28075e+07			3.31073e+07
195		6.35551e+07			5.95579e+07
200		1.33861e+08			1.21022e+08

p13.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
60		1			1
70		3			3
75		4			4
80		23			23
85		43			43.3352
90		295			301.687
95		805			846.745
100		3889			3988.68
105		13759			14373
110		52031			51843.4
115		190075			229324
120		650433			696641
125		2.11288e+06			2.19395e+06
130		7.1169e+06			7.76536e+06
135		2.12007e+07			2.32647e+07
140		6.56617e+07			7.00785e+07

p30.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
105		1			1
115		6			6
125		53			53.12
135		869			869.785
140		967			964.591
