	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 5000 probes.

nomystery-opt11-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		1			1
5		5			5
6		19			19.016
7		80			79.9456
8		318			316.679
9		1292			1285.33
10		5090			4996.66
11		19952			19730.9
12		77430			75365.3
13		301278			273181
14		1.1782e+06			1.14584e+06
15		4.65789e+06			4.32523e+06
16		1.8648e+07			1.76678e+07
17		7.57934e+07			6.11455e+07
18		3.12838e+08			2.82642e+08

p19.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
5		2			2
6		6			6
7		29			28.9996
8		114			114.058
9		569			569.274
10		2681			2672.61
11		13956			13926.1
12		72459			72343
13		395141			391302
14		2.17889e+06			2.17091e+06
15		1.23268e+07			1.22215e+07

p18.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
5		1			1
6		5			5
7		13			13.132
8		62			61.9352
9		233			232.1
10		1116			1103.35
11		5050			5079.69
12		25122			25702.7
13		124825			124068
14		643239			630685
15		3.33449e+06			----zero_info----
16		1.75004e+07			----zero_info----
17		9.22495e+07			----zero_info----

p15.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		1			1
5		3			3
6		15			15.0112
7		54			53.642
8		229			230.158
9		954			953.478
10		4179			4128.74
11		18139			18103.4
12		80015			80256.7
13		358226			354149
14		1.62867e+06			1.60435e+06
15		7.5308e+06			7.43448e+06
16		3.53041e+07			3.3229e+07
17		1.67843e+08			1.5886e+08

p12.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		3			3
5		8			8
6		33			33.0574
7		110			110.055
8		344			347.14
9		1035			1028.74
10		2990			3048.6
11		8603			8863.12
12		24661			24190.5
13		71921			72482.2
14		215522			221347

p13.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		2			2
5		9			9.0344
6		37			36.6056
7		135			135.251
8		475			476.31
9		1654			1638.46
10		5691			5608.77
11		19689			19289.6
12		68405			66932.7
13		241046			242035
14		860811			841249
15		3.13474e+06			2.93233e+06

p07.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
5		2			2
6		5			5
7		24			23.9274
8		106			105.064
9		523			514.56
10		2568			2549.37
11		13101			12918.6
12		67425			66394.2
13		355115			348749
14		1.89101e+06			1.83051e+06
15		1.02446e+07			1.00676e+07
16		5.60511e+07			5.46876e+07

p05.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		1			1
5		3			3
6		15			15.004
7		54			53.8692
8		229			228.075
9		954			952.588
10		4269			4210.93
11		19527			19278.3
12		92763			92710.2
13		449269			449131
14		2.21295e+06			2.14003e+06
15		1.10676e+07			1.101e+07
16		5.60323e+07			5.69606e+07

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
3		1			1
4		4			4
5		14			14.0002
6		46			46.105
7		132			130.628
8		410			404.369
9		1162			1145.37
10		3400			3351.14
11		9656			9722.51

p10.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
5		2			2
6		4			4
7		23			22.8632
8		104			103.369
9		623			635.06
10		3565			3532.3
11		22189			21746.3
12		137422			134889
13		877421			842429
14		5.61268e+06			5.49125e+06
15		3.64172e+07			3.37451e+07

p04.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		1			1
5		5			5
6		19			18.936
7		80			79.8648
8		329			328.23
9		1464			1460.72
10		6501			6388.73
11		29756			29254.3
12		135445			134880
13		619432			623910
14		2.81793e+06			2.63872e+06
15		1.28281e+07			1.27983e+07
16		5.83707e+07			5.29828e+07
17		2.66497e+08			2.53886e+08

p06.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
5		2			2
6		7			7
7		36			35.747
8		158			155.992
9		774			761.185
10		3796			3731.69
11		19359			18811.7
12		100332			98996.4
13		533406			526431
14		2.88877e+06			2.84852e+06
15		1.59937e+07			1.52346e+07

p17.pddl
