	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 5000 probes.

elevators-opt11-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
36		44463			42077.3
37		71679			62192.3
38		111221			113264
39		202480			164588
40		391012			392631
41		750684			499170
42		1.39236e+06			1.67013e+06
43		2.27927e+06			4.01997e+06
44		3.98156e+06			3.32525e+06
45		6.86727e+06			2.85791e+06
46		1.32401e+07			7.14349e+06
47		2.63036e+07			1.42851e+07

p09.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
13		8			8
14		29			29
15		71			71
16		92			92
17		106			106
19		280			277.762
20		1312			1235.71
21		3071			2767.98
22		5800			5314.19
23		7853			6756.41
24		9507			8577.84
25		17473			15043.7
26		60393			57670.9
27		183717			140146
28		385114			284447
29		672343			525662
30		925476			669025
31		1.51268e+06			3.29954e+06
32		4.62925e+06			6.14816e+06
33		1.37768e+07			6.76106e+06

p08.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
14		51			51
15		88			88
16		151			151
17		188			188
18		226			226
19		2763			2739.03
20		8543			7950.75
21		21794			17992.1
22		31260			26303.3
23		40578			30945.4
24		49530			40242.4
25		443433			302295
26		2.35158e+06			1.4637e+06
27		5.05985e+06			2.48266e+06
28		9.1657e+06			5.01831e+06

p16.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
14		2			2
15		4			4
16		8			8
18		11			11
19		12			12
20		20			20.0044
21		39			38.758
22		65			65.2016
23		120			120.095
24		153			152.936
25		227			226.947
26		301			300.196
27		563			553.516
28		1127			1096.56
29		2169			2118.15
30		4008			3924.58
31		5949			5660.01
32		8955			8669.62
33		13930			12874.8
34		30672			29639.5
35		70410			61835.9
36		143449			131469
37		262108			226432
38		411404			388543
39		686153			686950
40		1.3697e+06			1.24844e+06
41		3.31483e+06			3.69447e+06
42		7.92476e+06			7.23174e+06
43		1.55277e+07			1.46168e+07

p11.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
14		149			149
15		334			334
16		445			445
17		519			519
18		556			556
19		1222			1202.44
20		38035			34433.4
21		108192			88968.8
22		188034			140654
23		241746			156068
24		279012			175507
25		1.32116e+06			872471

p02.pddl
