	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 5000 probes.

elevators-opt08-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		1			1
40		2.00918e+07			1.18675e+07
41		4.89885e+07			2.62794e+07

p10.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			----zero_info----
14		19			----zero_info----
15		73			----zero_info----
16		100			----zero_info----
17		109			----zero_info----
19		385			----zero_info----
20		1894			----zero_info----
21		5911			----zero_info----
22		12364			----zero_info----
23		15998			----zero_info----
24		19450			----zero_info----
25		39359			----zero_info----
26		272229			----zero_info----
27		936942			----zero_info----
28		2.23005e+06			----zero_info----
29		3.83252e+06			----zero_info----

p04.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			----zero_info----
13		26			----zero_info----
14		101			----zero_info----
15		201			----zero_info----
16		251			----zero_info----
18		276			----zero_info----
19		4515			----zero_info----
20		21805			----zero_info----
21		54018			----zero_info----
22		78557			----zero_info----
23		90754			----zero_info----
24		101066			----zero_info----
25		1.59868e+06			----zero_info----
26		7.61492e+06			----zero_info----

p26.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			----zero_info----
14		148			----zero_info----
15		491			----zero_info----
16		687			----zero_info----
17		736			----zero_info----
18		785			----zero_info----
19		4165			----zero_info----
20		27328			----zero_info----
21		107203			----zero_info----
22		278777			----zero_info----
23		475980			----zero_info----
24		571604			----zero_info----
25		1.1772e+06			----zero_info----

p06.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			----zero_info----
14		19			----zero_info----
15		55			55
16		82			----zero_info----
17		100			----zero_info----
19		685			----zero_info----
20		3187			----zero_info----
21		8632			----zero_info----
22		13276			----zero_info----
23		16225			----zero_info----
24		17812			----zero_info----
25		97543			----zero_info----
26		1.03437e+06			----zero_info----
27		3.31267e+06			----zero_info----
28		5.61709e+06			----zero_info----

p17.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
11		1			1
16		26			26
17		101			101
18		151			151
19		201			201
20		251			251
21		326			326
22		5622			5716.89
23		20583			20455.7
24		34120			33254
25		49789			44036.3
26		66879			61133.9
27		191951			162559
28		1.88323e+06			1.51385e+06
29		4.76616e+06			3.70619e+06

p20.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			----zero_info----
14		4			----zero_info----
15		13			----zero_info----
16		16			----zero_info----
17		25			----zero_info----
18		37			----zero_info----
19		40			----zero_info----
20		147			----zero_info----
21		514			----zero_info----
22		957			----zero_info----
23		1443			----zero_info----
24		2324			----zero_info----
25		3144			----zero_info----
26		13877			----zero_info----
27		45127			----zero_info----
28		105218			----zero_info----
29		186038			----zero_info----
30		338200			----zero_info----
31		572085			----zero_info----
32		1.28446e+06			----zero_info----

p28.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			----zero_info----
14		149			----zero_info----
15		334			----zero_info----
16		445			----zero_info----
17		519			----zero_info----
18		556			----zero_info----
19		1222			----zero_info----
20		38035			----zero_info----
21		108192			----zero_info----
22		188034			----zero_info----
23		241746			----zero_info----
24		279012			----zero_info----
25		1.32116e+06			----zero_info----

p23.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			----zero_info----
14		13			----zero_info----
15		34			----zero_info----
16		40			----zero_info----
17		43			----zero_info----
19		57			----zero_info----
20		288			----zero_info----
21		1043			----zero_info----
22		2388			----zero_info----
23		3375			----zero_info----
24		3922			----zero_info----
25		4280			----zero_info----
26		18386			----zero_info----
27		79687			----zero_info----
28		244088			----zero_info----
29		518039			----zero_info----
30		837919			----zero_info----
31		1.04223e+06			----zero_info----
32		2.57002e+06			----zero_info----
33		1.09466e+07			----zero_info----

p21.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			----zero_info----
14		4			----zero_info----
15		22			----zero_info----
16		37			----zero_info----
17		43			----zero_info----
20		220			----zero_info----
21		844			----zero_info----
22		1424			----zero_info----
23		1843			----zero_info----
24		2034			----zero_info----
25		2452			----zero_info----
26		14772			----zero_info----
27		50467			----zero_info----
28		92722			----zero_info----
29		122292			----zero_info----
30		142238			----zero_info----
31		224578			----zero_info----
32		1.30574e+06			----zero_info----
33		4.69119e+06			----zero_info----
34		9.21924e+06			----zero_info----
35		1.31689e+07			----zero_info----
36		1.58594e+07			----zero_info----

p03.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
14		7			7
15		22			22
16		25			25
17		28			28
19		60			60.868
20		225			224.427
21		426			425.061
22		772			745.22
23		975			986.174
24		1126			1084.45
25		1381			1346.09
26		5916			5766.07
27		17918			17952.1
28		32290			28863.7
29		51765			50121.2
30		67989			56849.2
31		93482			91642.8
32		228760			167323
33		766891			634435
34		1.89276e+06			1.95967e+06
35		3.59185e+06			2.46006e+06
36		5.49037e+06			----zero_info----
37		7.84087e+06			----zero_info----
38		1.47963e+07			----zero_info----

p24.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
7		1			----zero_info----
13		19			----zero_info----
14		91			----zero_info----
15		118			----zero_info----
16		145			----zero_info----
19		814			----zero_info----
20		5674			----zero_info----
21		15649			----zero_info----
22		20634			----zero_info----
23		25862			----zero_info----
24		26827			----zero_info----
25		63735			----zero_info----
26		628587			----zero_info----
27		2.97885e+06			----zero_info----

p09.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
14		7			7
15		19			----zero_info----
16		25			----zero_info----
17		31			----zero_info----
19		40			----zero_info----
20		220			----zero_info----
21		643			----zero_info----
22		1338			----zero_info----
23		1823			----zero_info----
24		2114			----zero_info----
25		2399			----zero_info----
26		19517			----zero_info----
27		80119			----zero_info----
28		160934			----zero_info----
29		286874			----zero_info----
30		352495			----zero_info----
31		684574			----zero_info----
32		2.48411e+06			----zero_info----
33		1.08448e+07			9.34927e+06

p08.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			----zero_info----
14		75			----zero_info----
15		149			----zero_info----
16		371			----zero_info----
18		408			----zero_info----
19		1345			1355.25
20		17190			15157.6
21		78164			58015.7
22		91507			69905.4
23		146610			103787
24		167490			120818
25		543832			320316
26		4.77922e+06			3.21533e+06

p16.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		1			1
16		13			13
17		19			19
18		28			28
19		31			31
20		40			40
21		55			55.024
22		223			222.18
23		515			513.826
24		766			742.767
25		1093			1038.06
26		1588			1469.89
27		2194			2044.09
28		7959			6929.34
29		19199			16753.7
30		39017			26807.4
31		62947			42591.1
32		105346			119200
33		165843			151698
34		428986			254054
35		1.14869e+06			1.17042e+06
36		2.66433e+06			1.4247e+06
37		5.72324e+06			3.38701e+06
38		9.95214e+06			5.30385e+06

p11.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
11		1			----zero_info----
16		4			----zero_info----
17		6			----zero_info----
18		9			----zero_info----
19		10			10
20		13			----zero_info----
21		18			17.9336
22		28			----zero_info----
23		49			----zero_info----
24		69			----zero_info----
25		100			----zero_info----
26		141			----zero_info----
27		228			----zero_info----
28		330			330.788
29		484			492.587
30		744			----zero_info----
31		1110			----zero_info----
32		2136			----zero_info----
33		4053			----zero_info----
34		6438			----zero_info----
35		9481			----zero_info----
36		13601			----zero_info----
37		23120			----zero_info----
38		49694			----zero_info----
39		108910			141036
40		201411			161511
41		325585			----zero_info----
42		511106			----zero_info----
43		861425			----zero_info----
44		1.85865e+06			----zero_info----
45		4.19696e+06			----zero_info----
46		8.38066e+06			1.02323e+07
47		1.5137e+07			7.43446e+06
48		2.53289e+07			1.80712e+07

p27.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			----zero_info----
14		3			----zero_info----
15		7			----zero_info----
16		12			----zero_info----
17		13			----zero_info----
18		14			----zero_info----
19		17			----zero_info----
20		47			----zero_info----
21		155			----zero_info----
22		235			----zero_info----
23		327			----zero_info----
24		370			----zero_info----
25		441			----zero_info----
26		2201			----zero_info----
27		7674			----zero_info----
28		14794			----zero_info----
29		21739			----zero_info----
30		28102			----zero_info----
31		40412			----zero_info----
32		135055			----zero_info----
33		746650			----zero_info----
34		1.84701e+06			----zero_info----
35		3.17698e+06			----zero_info----
36		4.51155e+06			----zero_info----
37		6.15626e+06			----zero_info----

p02.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
7		1			1
13		51			51
14		151			151
15		188			188
16		238			238
18		251			251
19		2753			2696.52
20		13573			12365.5
21		32300			26621
22		44554			37795.6
23		55026			44882.7
24		59448			50278
25		191936			136015
26		1.20417e+06			819693

Files that contains zero_info:
p03.pddl
p04.pddl
p05.pddl
p06.pddl
p08.pddl
p09.pddl
p10.pddl
p11.pddl
p20.pddl
p21.pddl
p22.pddl
p23.pddl
p24.pddl
p26.pddl
p27.pddl
p28.pddl
