	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 5000 probes.

transport-opt11-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
74		2			2
75		7			7
76		19			19.0032
77		47			47.0504
78		111			111.512
79		255			253.041
80		575			572.366
81		1279			1289.17
82		2815			2819.22
83		6143			6145.24
84		13311			13337.5
85		28671			28794.2
86		61439			60953.1
87		131074			128347
88		278546			276849
89		589913			588597
90		1.24553e+06			1.05256e+06
91		2.62269e+06			2.74976e+06
92		5.50925e+06			3.72002e+06
93		1.15483e+07			5.26239e+06

p19.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
255		2			2
277		5			5
278		9			9
279		14			14
280		22			21.9922
281		36			35.6828
282		51			50.7244
283		69			68.9722
284		90			89.8774
285		113			112.784
286		140			140.283
287		169			167.451
288		202			200.983
289		237			233.902
290		276			270.966
291		319			312.523
292		366			360.659
293		416			408.569
294		471			456.807
295		534			527.532
296		603			596.275
297		683			674.821
298		770			763.672
299		875			822.752
300		989			999.413
301		1129			1177.49
302		1288			1302.81
303		1498			1465.04
304		1761			1559.65
305		2137			2287.53
306		2701			2446.54
307		3675			3331.79
308		5440			4977.7
309		8913			7590.64
310		15940			18131
311		30602			28271
312		61434			58275.9
313		126765			119902
314		265197			252807
315		558506			546800
316		1.17866e+06			1.094e+06
317		2.48729e+06			2.30406e+06
318		5.24208e+06			4.68013e+06
319		1.10284e+07			1.06827e+07
320		2.31559e+07			2.19e+07
321		4.85226e+07			4.13729e+07

p18.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
237		2			2
250		5			5
258		7			7
260		9			9
263		13			12.976
265		15			15.012
271		20			20.0176
273		25			25
275		28			28.0404
276		33			32.951
278		40			39.8074
283		42			42.17
284		51			50.8944
285		52			51.5528
286		70			70.104
287		73			72.3052
288		74			74.1796
289		88			88.824
290		89			89.9542
291		106			106.991
292		109			109.163
293		110			111.165
294		113			113.487
295		114			114.658
296		127			127.867
297		142			142.669
298		151			151.083
299		172			172.531
300		185			186.333
301		197			195.959
302		219			219.751
303		235			238.005
304		277			277.22
305		297			296.838
306		312			308.465
307		355			348.835
308		371			385.214
309		424			420.146
310		475			508.617
311		506			482.724
312		604			567.632
313		663			675.14
314		743			948.164
315		831			807.89
316		899			947.85
317		1057			1089.38
318		1171			1075.45
319		1289			1351.6
320		1445			1310.87
321		1602			1380.62
322		1829			1700.42
323		2060			1495.54
324		2327			2035.11
325		2696			2298.21
326		3045			3187.86
327		3421			2435.07
328		3906			2916.59
329		4473			2825.37
330		5211			5123.31
331		5982			5994.37
332		6935			4480.88
333		8121			14717.2
334		9472			18995.1
335		11291			13682.5
336		13558			11647
337		16525			9350.87
338		21056			12901.7
339		27913			15348.9
340		39550			25330.1
341		60936			40974.1
342		101221			75056.2
343		181953			127590
344		342354			346606
345		672613			809274
346		1.34226e+06			1.61374e+06
347		2.733e+06			2.55299e+06
348		5.56647e+06			5.53927e+06
349		1.14589e+07			1.14268e+07
350		2.3474e+07			2.55574e+07
351		4.84345e+07			4.48146e+07

p15.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
262		1			1
270		2			2
287		3			3
288		4			4
289		5			5
290		6			6
291		7			7
292		9			9
293		11			11
294		14			14
295		18			18.0076
296		23			22.984
297		29			29.0056
298		36			36.0056
299		44			44.0892
300		54			53.8812
301		65			64.9472
302		79			79.1728
303		94			93.7172
304		113			113.076
305		133			131.284
306		158			158.634
307		184			183.903
308		216			216.926
309		249			247.206
310		289			286.536
311		330			326.395
312		379			378.099
313		429			417.782
314		489			478.068
315		550			541.92
316		621			619.772
317		694			694.61
318		779			748.605
319		867			854.262
320		968			1009.5
321		1073			978.163
322		1194			1201.72
323		1321			1289.4
324		1467			1337.23
325		1622			1517.17
326		1802			1415.98
327		1996			1717.78
328		2221			2055.67
329		2468			5110.65
330		2758			4996.29
331		3078			1182.69
