	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 5000 probes.

blocks

probBLOCKS-15-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
7		1			1
8		7			7
9		62			62.057
10		393			396.169
11		3110			3119.77
12		19126			19491.5
13		144630			145819
14		929372			938067
15		6.54968e+06			6.6882e+06
16		4.65705e+07			4.9261e+07
17		2.99296e+08			3.05225e+08

probBLOCKS-16-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
15		1			1
16		4			4
17		15			15.0156
18		58			57.6632
19		250			250.34
20		1202			1224.3
21		6408			6515.89
22		37502			38322.6
23		238667			241971
24		1.63543e+06			1.64726e+06
25		1.19203e+07			1.24674e+07
26		9.11146e+07			9.13143e+07

probBLOCKS-5-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		1			1
7		3			3
8		7			7
9		18			18.0016
10		43			42.9352
11		149			148.914
12		348			348.337
13		1482			1485.54
14		3582			3605.72
15		16187			16193.2
16		42071			42089.3

probBLOCKS-9-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
10		4			4
11		14			14.0028
12		52			52.1004
13		212			211.906
14		944			947.278
15		4366			4409.74
16		22337			22581.3
17		109283			110773
18		570611			580208
19		3.04172e+06			3.09325e+06
20		1.47372e+07			1.48461e+07
21		8.90116e+07			9.0459e+07
22		3.82704e+08			4.04388e+08

probBLOCKS-8-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
5		1			1
6		7			7
7		56			56.117
8		282			282.521
9		2012			2034.95
10		7713			7781.96
11		59229			59760.5
12		189873			193340
13		1.59743e+06			1.61157e+06
14		4.5786e+06			4.71707e+06
15		4.16095e+07			4.16853e+07
16		1.11177e+08			1.1403e+08

probBLOCKS-6-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		1			1
6		7			7
7		15			15.144
8		51			51.284
9		178			177.482
10		507			500.64
11		2383			2344.32
12		6488			6427.95

probBLOCKS-4-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
3		1			1
4		4			4
5		12			12
6		50			49.8676

probBLOCKS-8-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		1			1
6		17			17.0304
7		47			47.3784
8		267			266.215
9		1209			1203.44
10		4770			4790.8
11		29180			29468
12		94565			92855.5
13		703899			734676
14		2.0286e+06			2.07207e+06
15		1.71776e+07			1.79062e+07
16		4.60757e+07			4.56882e+07
17		4.24936e+08			4.13764e+08
18		1.09013e+09			1.10436e+09

probBLOCKS-4-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
5		1			1
6		3			3
7		7			7
8		17			17.0136
9		41			40.9968
10		124			124.464

probBLOCKS-13-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		1			1
11		5			5
12		26			26.0188
13		130			130.708
14		696			699.617
15		3935			3952.78
16		22940			22984.9
17		140606			145167
18		883583			901268
19		5.41788e+06			5.49064e+06
20		3.72406e+07			3.81764e+07
21		2.17259e+08			2.35404e+08

probBLOCKS-11-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
9		5			5
10		27			27.0356
11		137			137.698
12		688			688.32
13		3697			3748.67
14		20253			20481.7
15		105994			108238
16		658056			683705
17		3.29165e+06			3.38152e+06
18		2.25382e+07			2.3569e+07
19		1.11755e+08			1.18454e+08

probBLOCKS-12-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		1			1
11		5			5
12		26			26.0188
13		130			130.258
14		696			699.331
15		3935			3992.56
16		22949			23645.5
17		140792			141970
18		885578			915903
19		5.45654e+06			5.69615e+06
20		3.74505e+07			3.82863e+07
21		2.21621e+08			2.25455e+08

probBLOCKS-13-1.pddl
