	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 1 probe.

blocks

probBLOCKS-15-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
18		5			3
20		38			31
22		327			271
24		3502			663
25		3505			59
26		46122			4947
27		46493			388931
28		770552			6.50104e+06
29		796776			1.94498e+06
30		1.70839e+07			82039
31		1.8525e+07			19803
32		4.87578e+08			1.11829e+09
33		5.56401e+08			1.36142e+09
34		1.62797e+10			17659

probBLOCKS-4-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		7			7

probBLOCKS-7-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
12		1			1
13		2			2
14		5			6
15		7			6
16		21			38
17		27			28
18		133			138
19		160			188
20		1753			46

probBLOCKS-16-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
30		3			3
31		4			4
32		50			40
33		62			52
34		801			484
35		971			484
36		14231			4948
37		16983			21664
38		315635			299104
39		371353			76660
40		1.11229e+07			768532
41		1.28852e+07			1.53812e+06
42		6.78888e+08			1.42285e+07
43		7.71909e+08			2.71481e+06

probBLOCKS-10-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
18		3			3
20		18			11
22		119			35
23		120			35
24		1149			179
25		1212			1161
26		16896			2079
27		19211			4665
28		362011			315
29		437903			315
30		1.04763e+07			61689
31		1.30125e+07			214617
32		3.64288e+08			1.30298e+07
33		4.52207e+08			1.30298e+07
34		1.37079e+10			1.14466e+06

probBLOCKS-14-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
26		9			5
27		10			6
28		460			3336
29		498			3516
30		27864			10326
31		29972			19986
32		2.21613e+06			4.58119e+06
33		2.38745e+06			4.60999e+06
34		2.16682e+08			1.38116e+07
35		2.34922e+08			5.02759e+06

probBLOCKS-6-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		65			5

probBLOCKS-11-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
20		23			17
21		28			21
22		1315			405
23		1618			105
24		69606			2625
25		86557			45185
26		3.51914e+06			3.4092e+06
27		4.40907e+06			387705
28		1.72089e+08			2.3225e+06
29		2.15908e+08			2.3225e+06
30		8.24758e+09			2.11898e+08

probBLOCKS-10-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
18		3			3
20		28			45
22		281			531
24		3574			11295
26		59308			4665
27		59573			43257
28		1.24711e+06			918057
29		1.27009e+06			53649
30		3.26303e+07			3.76649e+06
31		3.40564e+07			2.7003e+08
32		1.06758e+09			9.17114e+08

probBLOCKS-9-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		3			3
16		18			11
18		118			35
20		989			1161
22		10038			855
24		115684			5463
26		1.4694e+06			148367
27		1.47066e+06			10497
28		2.07445e+07			1.51165e+06
29		2.08679e+07			1.51165e+06
30		3.40274e+08			3.52719e+06

probBLOCKS-9-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		1			1
16		3			3
18		9			7
20		34			22
22		183			103
24		1352			310
25		1377			1168
26		13278			5056
27		14012			1768
28		179863			81049
