	Report:		ida*-bfs-vs-ss-bfs - using lmcut heuristic - 100 probes.

transport-opt11-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
425		260			----zero_info----
426		292			----zero_info----
427		299			----zero_info----
428		318			----zero_info----
429		342			----zero_info----
430		358			----zero_info----
431		395			----zero_info----
432		436			----zero_info----
433		509			----zero_info----
434		547			----zero_info----
435		578			----zero_info----
436		630			----zero_info----
437		692			----zero_info----
438		729			----zero_info----
439		786			----zero_info----
440		858			----zero_info----
441		901			----zero_info----
442		1021			----zero_info----
443		1123			----zero_info----
444		1158			----zero_info----
445		1236			----zero_info----
446		1363			----zero_info----
447		1407			----zero_info----
448		1499			----zero_info----
449		1650			----zero_info----
450		1871			----zero_info----
451		1992			----zero_info----
452		2186			----zero_info----
453		2413			----zero_info----
454		2636			----zero_info----
455		2798			----zero_info----
456		3133			----zero_info----
457		3514			----zero_info----
458		3821			----zero_info----
459		4128			----zero_info----
460		4529			----zero_info----
461		4953			----zero_info----
462		5384			----zero_info----
463		5809			----zero_info----
464		6258			----zero_info----
465		6496			----zero_info----
466		7320			----zero_info----
467		7871			----zero_info----
468		8452			----zero_info----
469		9300			----zero_info----
470		10395			----zero_info----
471		11390			----zero_info----
472		12168			----zero_info----
473		13403			----zero_info----
474		14763			----zero_info----
475		15930			----zero_info----
476		17518			----zero_info----
477		19766			----zero_info----
478		22188			----zero_info----
479		23689			----zero_info----
480		26538			----zero_info----
481		29316			----zero_info----
482		31180			----zero_info----
483		33774			----zero_info----
484		36406			----zero_info----
485		39412			----zero_info----
486		42497			----zero_info----
487		47148			----zero_info----
488		51169			----zero_info----
489		54897			----zero_info----
490		61452			----zero_info----
491		65895			----zero_info----
492		71153			----zero_info----
493		78385			----zero_info----
494		88013			----zero_info----
495		97477			----zero_info----
496		106181			----zero_info----
497		117277			----zero_info----
498		130801			----zero_info----
499		142197			----zero_info----
500		156197			----zero_info----

p13.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)

p07.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
154		69			----zero_info----
155		122			----zero_info----
156		129			----zero_info----
157		214			----zero_info----
158		248			----zero_info----
159		373			----zero_info----
160		517			----zero_info----
161		697			----zero_info----
162		1293			----zero_info----
163		1582			----zero_info----
164		4034			----zero_info----
165		4702			----zero_info----
166		14770			----zero_info----
167		17202			----zero_info----
168		58502			----zero_info----
169		69849			----zero_info----
170		239151			----zero_info----
171		294999			----zero_info----
172		988686			----zero_info----
173		1.26192e+06			----zero_info----
174		4.10253e+06			----zero_info----

p05.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
406		2			----zero_info----
408		4			----zero_info----
410		6			----zero_info----
412		8			----zero_info----
414		10			----zero_info----
416		12			----zero_info----
418		14			----zero_info----
420		16			----zero_info----
422		18			----zero_info----
424		20			----zero_info----
426		22			----zero_info----
428		24			----zero_info----
430		26			----zero_info----
432		28			----zero_info----
434		30			----zero_info----
436		32			----zero_info----
438		34			----zero_info----
440		36			----zero_info----
442		38			----zero_info----
444		40			----zero_info----
446		42			----zero_info----
448		44			----zero_info----
450		46			----zero_info----
452		48			----zero_info----
454		50			----zero_info----
456		52			----zero_info----
457		53			----zero_info----
458		556103			----zero_info----
459		1.22882e+06			----zero_info----

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
409		2			----zero_info----
411		4			----zero_info----
413		18			----zero_info----
414		33			----zero_info----
415		61			----zero_info----
416		95			----zero_info----
417		135			----zero_info----
418		192			----zero_info----
419		244			----zero_info----
420		328			----zero_info----
421		392			----zero_info----
422		507			----zero_info----
423		583			----zero_info----
424		733			----zero_info----
425		821			----zero_info----
426		1010			----zero_info----
427		1110			----zero_info----
428		1342			----zero_info----
429		1454			----zero_info----
430		1735			----zero_info----
431		1919			----zero_info----
432		2259			----zero_info----
433		2515			----zero_info----
434		2922			----zero_info----
435		3250			----zero_info----
436		3732			----zero_info----
437		4132			----zero_info----
438		4697			----zero_info----
439		5169			----zero_info----
440		5825			----zero_info----
441		6369			----zero_info----
442		7124			----zero_info----
443		7740			----zero_info----
444		8602			----zero_info----
445		9290			----zero_info----
446		10267			----zero_info----
447		11027			----zero_info----
448		12127			----zero_info----
449		12959			----zero_info----
450		14190			----zero_info----
451		15094			----zero_info----
452		16464			----zero_info----
453		17444			----zero_info----
454		18961			----zero_info----
455		20025			----zero_info----
456		21697			----zero_info----
457		22925			----zero_info----
458		24902			----zero_info----
459		26524			----zero_info----
460		29173			----zero_info----
461		31624			----zero_info----
462		35727			----zero_info----
463		40257			----zero_info----
464		48692			----zero_info----
465		64822			----zero_info----
466		100959			----zero_info----
467		229943			----zero_info----
468		535451			----zero_info----
469		1.86886e+06			----zero_info----
470		4.97789e+06			----zero_info----
471		1.90118e+07			----zero_info----

p10.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
213		1921			----zero_info----
214		1924			----zero_info----
215		87658			----zero_info----
216		183784			----zero_info----
217		1.63458e+06			----zero_info----

p04.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
304		1			----zero_info----
317		2			----zero_info----
322		3			----zero_info----
325		4			----zero_info----
334		5			----zero_info----
337		8			----zero_info----
341		9			----zero_info----
344		10			----zero_info----
348		12			----zero_info----
352		14			----zero_info----
353		16			----zero_info----
358		17			----zero_info----
359		18			----zero_info----
360		22			----zero_info----
361		25			----zero_info----
363		28			----zero_info----
364		29			----zero_info----
365		33			----zero_info----
369		34			----zero_info----
370		39			----zero_info----
372		40			----zero_info----
373		48			----zero_info----
374		50			----zero_info----
375		53			----zero_info----
376		57			----zero_info----
377		62			----zero_info----
379		63			----zero_info----
380		65			----zero_info----
381		69			----zero_info----
382		77			----zero_info----
383		82			----zero_info----
384		87			----zero_info----
385		102			----zero_info----
386		114			----zero_info----
387		121			----zero_info----
388		125			----zero_info----
389		141			----zero_info----
390		151			----zero_info----
391		155			----zero_info----
392		169			----zero_info----
393		170			----zero_info----
394		174			----zero_info----
395		176			----zero_info----
396		195			----zero_info----
397		216			----zero_info----
398		225			----zero_info----
399		242			----zero_info----
400		264			----zero_info----
401		307			----zero_info----
402		323			----zero_info----
404		331			----zero_info----
405		340			----zero_info----
406		372			----zero_info----
407		393			----zero_info----
408		429			----zero_info----
409		489			----zero_info----
410		517			----zero_info----
411		564			----zero_info----
412		596			----zero_info----
413		637			----zero_info----
414		666			----zero_info----
415		705			----zero_info----
416		737			----zero_info----
417		771			----zero_info----
418		836			----zero_info----
419		938			----zero_info----
420		1047			----zero_info----
421		1268			----zero_info----
422		1624			----zero_info----
423		2216			----zero_info----
424		3337			----zero_info----
425		5546			----zero_info----
426		9700			----zero_info----
427		17934			----zero_info----
428		34382			----zero_info----
429		67265			----zero_info----
430		132910			----zero_info----
431		264101			----zero_info----
432		526391			----zero_info----
433		1.05087e+06			----zero_info----
434		2.0997e+06			----zero_info----
435		4.19716e+06			----zero_info----

p06.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
171		1			----zero_info----
183		7			----zero_info----
185		12			----zero_info----
186		13			----zero_info----
187		22			----zero_info----
188		24			----zero_info----
189		37			----zero_info----
190		40			----zero_info----
191		58			----zero_info----
192		60			----zero_info----
193		82			----zero_info----
194		85			----zero_info----
195		115			----zero_info----
196		127			----zero_info----
197		158			----zero_info----
198		177			----zero_info----
199		212			----zero_info----
200		237			----zero_info----
201		279			----zero_info----
202		313			----zero_info----
203		369			----zero_info----
204		425			----zero_info----
205		519			----zero_info----
206		645			----zero_info----
207		879			----zero_info----
208		1417			----zero_info----
209		2191			----zero_info----
210		3622			----zero_info----
211		6463			----zero_info----
212		12025			----zero_info----
213		23139			----zero_info----
214		45159			----zero_info----
215		89134			----zero_info----
216		176849			----zero_info----
217		352249			----zero_info----
218		702692			----zero_info----
219		1.40362e+06			----zero_info----
220		2.80487e+06			----zero_info----
221		5.60755e+06			----zero_info----

p17.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
163		4703			----zero_info----
164		18544			----zero_info----
165		23253			----zero_info----
166		92408			----zero_info----
167		97124			----zero_info----
168		387482			----zero_info----
169		392206			----zero_info----
170		1.56734e+06			----zero_info----

p20.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
155		1			----zero_info----
156		2			----zero_info----
157		3			----zero_info----
158		4			----zero_info----
159		5			----zero_info----
160		6			----zero_info----
161		7			----zero_info----
162		8			----zero_info----
163		9			----zero_info----
164		10			----zero_info----
165		11			----zero_info----
166		12			----zero_info----
167		13			----zero_info----
168		17			----zero_info----
169		18			----zero_info----
170		26			----zero_info----
171		27			----zero_info----
172		39			----zero_info----
173		40			----zero_info----
174		59			----zero_info----
175		63			----zero_info----
176		92			----zero_info----
177		99			----zero_info----
178		148			----zero_info----
179		161			----zero_info----
180		274			----zero_info----
181		298			----zero_info----
182		647			----zero_info----
183		698			----zero_info----
184		1949			----zero_info----
185		2054			----zero_info----
186		6835			----zero_info----
187		7033			----zero_info----
188		25798			----zero_info----
189		26185			----zero_info----
190		100736			----zero_info----
191		101663			----zero_info----
192		399417			----zero_info----
193		402441			----zero_info----

p03.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
305		1			----zero_info----
334		3			----zero_info----
342		5			----zero_info----
357		7			----zero_info----
359		9			----zero_info----
365		11			----zero_info----
369		13			----zero_info----
374		15			----zero_info----
376		17			----zero_info----
380		19			----zero_info----
383		27			----zero_info----
386		29			----zero_info----
388		31			----zero_info----
391		33			----zero_info----
393		35			----zero_info----
394		37			----zero_info----
398		43			----zero_info----
399		53			----zero_info----
400		55			----zero_info----
403		59			----zero_info----
404		63			----zero_info----
405		65			----zero_info----
408		67			----zero_info----
409		77			----zero_info----
410		79			----zero_info----
411		81			----zero_info----
412		89			----zero_info----
414		115			----zero_info----
415		117			----zero_info----
416		123			----zero_info----
417		135			----zero_info----
419		141			----zero_info----
420		153			----zero_info----
422		157			----zero_info----
425		159			----zero_info----
426		167			----zero_info----
427		179			----zero_info----
428		189			----zero_info----
429		229			----zero_info----
430		241			----zero_info----
431		261			----zero_info----
432		277			----zero_info----
433		297			----zero_info----
434		311			----zero_info----
435		327			----zero_info----
436		335			----zero_info----
437		355			----zero_info----
438		365			----zero_info----
439		371			----zero_info----
440		397			----zero_info----
441		409			----zero_info----
442		411			----zero_info----
443		491			----zero_info----
444		529			----zero_info----
445		591			----zero_info----
446		615			----zero_info----
447		629			----zero_info----
448		715			----zero_info----
449		725			----zero_info----
450		767			----zero_info----
451		825			----zero_info----
452		847			----zero_info----
453		917			----zero_info----
454		945			----zero_info----
455		985			----zero_info----
456		993			----zero_info----
457		1007			----zero_info----
458		1167			----zero_info----
459		1207			----zero_info----
460		1377			----zero_info----
461		1437			----zero_info----
462		1481			----zero_info----
463		1701			----zero_info----
464		1785			----zero_info----
465		1931			----zero_info----
466		2037			----zero_info----
467		2089			----zero_info----
468		2231			----zero_info----
469		2325			----zero_info----
470		2381			----zero_info----
471		2445			----zero_info----
472		2577			----zero_info----
473		2731			----zero_info----
474		3063			----zero_info----
475		3334			----zero_info----
476		3426			----zero_info----
477		3819			----zero_info----
478		4050			----zero_info----
479		4436			----zero_info----
480		4643			----zero_info----
481		4749			----zero_info----
482		5155			----zero_info----
483		5330			----zero_info----
484		5741			----zero_info----
485		5963			----zero_info----
486		6145			----zero_info----
487		6678			----zero_info----
488		6761			----zero_info----
489		7665			----zero_info----
490		7869			----zero_info----
491		8292			----zero_info----
492		9355			----zero_info----
493		9647			----zero_info----
494		10859			----zero_info----
495		11219			----zero_info----
496		11558			----zero_info----
497		12788			----zero_info----
498		13293			----zero_info----
499		14371			----zero_info----
500		14954			----zero_info----
501		15476			----zero_info----
502		16355			----zero_info----
503		17105			----zero_info----
504		18762			----zero_info----
505		19467			----zero_info----
506		21213			----zero_info----
507		22552			----zero_info----
508		24896			----zero_info----
509		27288			----zero_info----
510		28649			----zero_info----
511		30957			----zero_info----
512		32965			----zero_info----
513		35407			----zero_info----
514		37690			----zero_info----
515		39337			----zero_info----
516		42053			----zero_info----
517		43446			----zero_info----
518		48169			----zero_info----
519		50663			----zero_info----
520		54937			----zero_info----
521		59937			----zero_info----
522		62511			----zero_info----
523		71274			----zero_info----
524		75168			----zero_info----
525		81128			----zero_info----
526		89421			----zero_info----
527		93684			----zero_info----
528		105205			----zero_info----
529		111087			----zero_info----
530		119323			----zero_info----
531		129562			----zero_info----
532		137675			----zero_info----
533		152811			----zero_info----
534		162743			----zero_info----
535		178678			----zero_info----
536		193228			----zero_info----
537		208514			----zero_info----
538		235064			----zero_info----
539		252576			----zero_info----
540		280711			----zero_info----
541		304372			----zero_info----
542		334126			----zero_info----
543		370562			----zero_info----
544		402252			----zero_info----
545		441208			----zero_info----
546		480110			----zero_info----
547		525837			----zero_info----
548		575823			----zero_info----
549		629886			----zero_info----
550		695699			----zero_info----
551		755060			----zero_info----
552		847674			----zero_info----
553		931667			----zero_info----
554		1.03922e+06			----zero_info----
555		1.15512e+06			----zero_info----
556		1.26695e+06			----zero_info----
557		1.42897e+06			----zero_info----
558		1.57904e+06			----zero_info----
559		1.76384e+06			----zero_info----
560		1.97207e+06			----zero_info----
561		2.18445e+06			----zero_info----
562		2.4673e+06			----zero_info----
563		2.74068e+06			----zero_info----
564		3.09147e+06			----zero_info----
565		3.48064e+06			----zero_info----
566		3.93728e+06			----zero_info----
567		4.70813e+06			----zero_info----
568		5.71102e+06			----zero_info----

p09.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
138		1			----zero_info----
139		3			----zero_info----
140		7			----zero_info----
141		15			----zero_info----
142		31			----zero_info----
143		63			----zero_info----
144		130			----zero_info----
145		258			----zero_info----
146		537			----zero_info----
147		1049			----zero_info----
148		2211			----zero_info----
149		4263			----zero_info----
150		9096			----zero_info----
151		17327			----zero_info----
