	Report:		ida*-bfs-vs-ss-bfs - using lmcut heuristic - 1 probe.

transport-opt08-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
438		365			277
439		371			269
440		397			993
441		409			401
442		411			345
443		491			349
444		529			529
445		591			425
446		615			357
447		629			353
448		715			345
449		725			345
450		767			345
451		825			353
452		847			505
453		917			909
454		945			977
455		985			1397
456		993			2101
457		1007			2109
458		1167			937
459		1207			1105
460		1377			941
461		1437			893
462		1481			909
463		1701			873
464		1785			3189
465		1931			1025
466		2037			5137
467		2089			5145
468		2231			3901
469		2325			673
470		2381			1273
471		2445			1273
472		2577			2469
473		2731			1677
474		3063			4497
475		3334			4781
476		3426			1497
477		3819			4985
478		4050			9333
479		4436			1849
480		4643			1849
481		4749			10909
482		5155			5733
483		5330			7665
484		5741			7933
485		5963			14465
486		6145			14481
487		6678			14837
488		6761			3301
489		7665			4209
490		7869			4949
491		8292			2321
492		9355			2581
493		9647			2581
494		10859			2597
495		11219			2601
496		11558			7785
497		12788			13177
498		13293			13181
499		14371			6513
500		14954			6585
501		15476			6665
502		16355			15221
503		17105			8817
504		18762			12001
505		19467			12005
506		21213			5269
507		22552			10141
508		24896			44881
509		27288			28009
510		28649			71357
511		30957			34861
512		32965			43013
513		35407			177169
514		37690			7409
515		39337			7413
516		42053			25929
517		43446			60457
518		48169			49325
519		50663			49329
520		54937			35833
521		59937			27781
522		62511			27125
523		71274			122841
524		75168			271489
525		81128			66757
526		89421			97985
527		93684			191077
528		105205			239337
529		111087			48277
530		119323			71901
531		129562			81733
532		137675			192493
533		152811			33481
534		162743			7325
535		178678			111465
536		193228			121337
537		208514			23101
538		235064			630497
539		252576			227677
540		280711			252097
541		304372			180653
542		334126			82853
543		370562			1.14032e+06
544		402252			484193
545		441208			198669
546		480110			144037
547		525837			118761
548		575823			132049
549		629886			88473
550		695699			281937
551		755060			222521
552		847674			308673
553		931667			217093
554		1.03922e+06			427229
555		1.15512e+06			542721
556		1.26695e+06			523241
557		1.42897e+06			294245
558		1.57904e+06			617153
559		1.76384e+06			1.13948e+06
560		1.97207e+06			699009
561		2.18445e+06			758421
562		2.4673e+06			539849
563		2.74068e+06			547773
564		3.09147e+06			624193
565		3.48064e+06			363685
566		3.93728e+06			8.88918e+06
567		4.70813e+06			535513
568		5.71102e+06			887289

p13.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
304		1			1
317		2			2
322		3			3
325		4			4
334		5			5
337		8			8
341		9			9
344		10			10
348		12			12
352		14			14
353		16			16
358		17			17
359		18			18
360		22			22
361		25			25
363		28			30
364		29			31
365		33			36
369		34			37
370		39			42
372		40			37
373		48			45
374		50			52
375		53			66
376		57			58
377		62			60
379		63			61
380		65			69
381		69			64
382		77			60
383		82			78
384		87			87
385		102			123
386		114			153
387		121			126
388		125			109
389		141			133
390		151			149
391		155			109
392		169			134
393		170			144
394		174			185
395		176			187
396		195			155
397		216			166
398		225			264
399		242			175
400		264			243
401		307			403
402		323			623
404		331			402
405		340			365
406		372			536
407		393			536
408		429			542
409		489			503
410		517			430
411		564			556
412		596			935
413		637			781
414		666			787
415		705			1023
416		737			1376
417		771			1583
418		836			1728
419		938			1746
420		1047			1259
421		1268			2367
422		1624			2785
423		2216			2366
424		3337			5666
425		5546			5049
426		9700			22367
427		17934			2145
428		34382			1298
429		67265			827
430		132910			313131
431		264101			623538
432		526391			1.24668e+06
433		1.05087e+06			2.49323e+06
434		2.0997e+06			4.983e+06
435		4.19716e+06			4.06557e+06

p30.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)

p07.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
199		36			36
200		96			96
201		180			180
202		480			480
203		756			756
204		2016			2016
205		3060			3060
206		8160			8160
207		12276			12276
208		32737			32737
209		49141			49141
210		131047			131047
211		196604			196604

p05.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
163		4703			4681
164		18544			18522
165		23253			23209
166		92408			92364
167		97124			97322
168		387482			387746
169		392206			392118
170		1.56734e+06			1.56734e+06

p22.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
301		2			2
303		8			9
305		16			14
307		26			21
309		38			28
311		52			39
313		68			44
315		86			87
317		106			100
319		128			119
321		152			232
323		178			141
325		206			102
327		236			405
329		268			464
331		302			221
333		340			126
335		394			525
337		504			330
339		832			749
341		2026			1888
343		6678			7119
345		25156			25356
347		98932			98669
349		393894			393586
351		1.57359e+06			1.57327e+06
353		6.29224e+06			6.292e+06
355		2.51667e+07			2.51668e+07

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
53		1			1
54		15			15

p10.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
201		2			2
202		2736			2736
