	Report:		ida*-bfs-vs-ss-bfs - using lmcut heuristic - 1 probe.

elevators-opt08-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
bound		ida*-bfs (exp)		ss-bfs (exp)
26		42			42
27		149			149
28		1135			668
29		7977			7638
31		9484			10354
32		12550			5075
33		16087			3376
34		292723			314983
35		1.08561e+06			189967

p16.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
36		1			1
44		14			14
45		63			59
46		98			71
47		171			115
48		313			300
49		882			671
50		1713			532
51		4183			6712
52		12573			8359
53		30276			45025
54		61886			232349
55		155342			13654
56		483008			498062
57		1.12654e+06			1.60106e+06

p11.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
39		2			2
41		4			4
42		6			6
43		18			24
44		28			34
45		35			34
46		65			74
47		94			66
48		193			100
49		268			227
50		588			950
51		1054			1275
52		2250			1880
53		3731			3477
54		6159			5038
55		13525			26952
56		25172			13833

p27.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
39		2			2
40		3			3
41		4			4
44		9			12
45		14			20
46		23			29
47		28			20
48		69			68
49		70			84
50		130			228
51		217			323
52		501			1127
53		1474			1590
54		2029			1238
55		3734			2058
56		8647			9638
57		18521			141919
58		69275			37008
59		154198			48374
60		718419			47237

p02.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
20		1			1
24		39			39
26		27378			25749
