	Report:		ida*-bfs-vs-ss-bfs - using lmcut heuristic - 1 probe.

blocks

probBLOCKS-15-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
36		1902			3595
37		6670			16999
38		33931			17908
39		129449			28276
40		667239			613948
41		2.76616e+06			2.93582e+06
42		1.46235e+07			1.84503e+06

probBLOCKS-10-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
19		1			1
20		3			3
21		8			7
22		18			27
23		48			81
24		113			35
25		358			273
26		925			777
27		3526			2073
28		10408			123
29		46288			367
30		164148			459
31		816718			715
32		3.54162e+06			11279
33		1.87863e+07			12357
34		9.56621e+07			33411

probBLOCKS-14-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
27		2			2
28		18			8
29		118			68
30		765			623
31		4697			1412
32		31357			17790
33		187062			98894
34		1.32131e+06			5.26914e+06
35		7.86661e+06			2.21576e+06

probBLOCKS-6-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		19			4

probBLOCKS-11-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
20		4			4
21		9			9
22		55			65
23		186			157
24		1022			1279
25		4085			2065
26		22066			12958
27		102342			38959
28		564763			910362
29		2.9654e+06			725697
30		1.72183e+07			9.84244e+06

probBLOCKS-10-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
19		1			1
20		3			3
21		11			9
22		25			21
23		92			57
24		226			129
25		900			1179
26		2500			777
27		10761			24507
28		33774			14349
29		155907			41565
30		550969			27993
31		2.71071e+06			961029
32		1.09385e+07			470229

probBLOCKS-9-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
16		1			1
17		3			3
18		8			7
19		18			11
20		49			31
21		114			47
22		366			687
23		908			1461
24		3334			175
25		8822			303
26		34813			18879
27		99120			159249
28		401347			1.9122e+06
29		1.24814e+06			9.43548e+06
30		5.07967e+06			2.85761e+07

probBLOCKS-9-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
16		1			1
17		2			2
18		3			3
19		6			6
20		9			9
21		20			21
22		33			33
23		88			84
24		167			113
25		536			354
26		1222			573
27		4562			60090
28		14228			3292
