	Report:		ida*-bfs-vs-ss-bfs - using lmcut heuristic - 1 probe.

transport-opt11-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
183		34			34
184		57			57
185		421			421
186		549			557
187		4166			4366
188		4824			5000
189		38736			27468
190		41955			44512
191		352623			386486
192		367931			397860

p19.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
396		1			1
403		3			3
405		5			5
406		6			6
407		8			8
409		10			10
411		12			12
413		14			14
415		16			16
417		19			19
419		22			22
420		23			23
421		26			26
422		27			27
423		30			30
424		38			38
425		42			42
426		59			59
427		65			65
428		84			84
429		92			92
430		114			114
431		124			124
432		148			148
433		165			165
434		191			191
435		216			216
436		245			245
437		280			280
438		317			317
439		381			326
440		448			395
441		590			512
442		782			820
443		1176			1135
444		1828			1604
445		3143			2917
446		5584			5696
447		10477			10135
448		20015			20199
449		39116			38545
450		77047			75303
451		153039			150963
452		304920			307013
453		609329			590684
454		1.21906e+06			1.21402e+06

p18.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
337		3			3
348		6			6
349		7			7
353		9			9
357		11			11
358		13			13
363		16			16
364		19			18
367		23			25
369		25			24
371		29			31
374		36			38
375		39			41
376		41			40
377		42			43
378		46			43
379		54			55
382		55			56
383		65			70
384		71			58
386		72			83
387		74			76
388		81			80
389		89			84
390		111			100
391		112			118
392		113			94
393		124			248
394		129			115
395		169			245
396		172			134
397		186			205
398		196			149
399		202			138
400		226			166
401		235			150
402		261			376
403		271			208
404		287			242
405		302			306
406		305			353
407		332			325
408		347			330
409		396			405
410		423			364
411		424			287
412		457			439
413		502			232
414		518			428
415		547			827
416		598			1027
417		651			601
418		682			528
419		733			643
420		766			977
421		909			1281
422		944			504
423		1005			2243
424		1122			653
425		1171			1398
426		1248			1244
427		1301			2590
428		1416			1083
429		1565			1511
430		1659			1069
431		1738			2240
432		1783			2606
433		1891			3872
434		2036			2704
435		2212			3247
436		2441			1348
437		2517			2011
438		2686			2183
439		2935			4293
440		3057			1182
441		3333			5836
442		3530			1999
443		3819			1446
444		3998			1522
445		4231			4494
446		4600			4310
447		5152			3499
448		5390			4839
449		5741			1576
450		6285			2903
451		6660			5530
452		7066			9530
453		7477			13886
454		8082			8784
455		8939			12334
456		9454			7400
457		9963			9635
458		10563			10197
459		11201			13780
460		11928			9750
461		12604			9123
462		13761			6758
463		14640			10270
464		15531			11462
465		16770			14901
466		17492			22198
467		19277			4199
468		20550			7166
469		22074			15161
470		23628			27927
471		24858			20813
472		26717			35339
473		29274			7895
474		31053			11683
475		33345			18517
476		35888			8382
477		37950			16604
478		40223			370903
479		42763			17139
480		46182			232416
481		50368			14694
482		53472			12183
483		56568			10829
484		60427			98013
485		64618			54643
486		68339			35537
487		72529			38873
488		78171			18953
489		84210			11950
490		132022			28034
491		181432			82096
492		414261			87018
493		736390			16994
494		2.692e+06			2.59021e+06

p15.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
456		1			1
511		2			2
533		4			4
534		68			68
535		72			72
536		140			140
537		144			144
538		216			216
539		233			233
540		308			308
541		329			328
542		407			406
543		432			437
544		528			545
545		560			544
546		701			730
547		748			771
548		1047			1059
549		1155			1133
550		2063			2513
551		2499			4237
552		5941			4754
553		8376			12501
554		21919			35254
555		35328			36585
556		89221			49999
557		158705			102246
558		373924			203281
559		716738			652502

p12.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
348		1			1
351		2			2
357		3			3
364		4			4
366		6			6
371		7			7
374		9			9
375		11			12
377		12			11
378		14			13
382		15			14
385		16			16
386		17			17
387		19			19
389		21			22
390		23			22
392		24			20
393		25			22
394		28			35
395		33			55
397		35			34
398		37			29
399		41			33
401		45			82
402		51			36
404		57			42
405		62			46
406		67			56
407		69			55
408		74			70
409		76			70
410		83			91
411		85			82
412		90			73
413		111			101
414		115			88
415		125			104
416		137			212
417		140			93
418		163			162
419		180			161
420		184			153
421		196			229
422		212			254
423		220			316
424		227			198
425		260			183
426		292			197
