	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 1 probe.

blocks

probBLOCKS-15-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		750			244
10		3278			1607
11		18241			13952
12		67968			64063
13		447372			416076
14		1.45941e+06			804349
15		1.10801e+07			668601
16		3.27165e+07			6.03319e+06
17		2.77452e+08			2.11801e+07
18		7.63399e+08			2.32224e+08

probBLOCKS-6-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
7		1			1
8		3			3
9		7			7
10		19			18
11		56			69
12		173			112
13		679			359
14		1991			4397
15		9614			21717
16		26453			32984
17		142971			519453
18		384894			1.14041e+06
19		2.18703e+06			2.77764e+06
20		5.91226e+06			1.74208e+07

probBLOCKS-14-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		1			1
11		5			5
12		26			27
13		129			148
14		653			807
15		3413			1889
16		19045			27101
17		107794			51102
18		628281			111667
19		3.9818e+06			1.24362e+06
20		2.3668e+07			1.70707e+07
21		1.61877e+08			4.76423e+08

probBLOCKS-10-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
10		4			4
11		14			13
12		52			44
13		212			160
14		942			608
15		4294			1841
16		22140			5980
17		103605			19947
18		561112			99648
19		2.77328e+06			186730
20		1.43788e+07			6.46712e+07
21		7.89376e+07			1.22341e+08
22		3.70634e+08			3.6275e+08

probBLOCKS-4-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
2		1			1
4		12			9
5		21			21
6		114			101

probBLOCKS-7-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
9		3			3
10		7			7
11		19			20
12		61			69
13		218			330
14		800			815
15		3599			2715
16		12227			9145
17		66521			38044
18		201967			148245
19		1.27108e+06			490274
20		3.55652e+06			1.52204e+06

probBLOCKS-16-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
13		1			1
14		5			5
15		27			29
16		139			128
17		775			670
18		4614			8953
19		29394			73901
20		198951			148425
21		1.41394e+06			988450
22		1.04874e+07			8.86886e+06
23		8.08929e+07			1.50872e+08

probBLOCKS-10-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		1			1
11		4			4
12		14			13
13		52			40
14		213			228
15		977			1342
16		4835			5007
17		24831			32632
18		140325			209801
19		724777			353328
20		4.41225e+06			2.502e+06
21		2.29926e+07			4.94902e+07
22		1.4021e+08			2.28383e+08
23		7.74121e+08			5.53513e+09

probBLOCKS-14-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		1			1
7		6			6
8		31			28
9		245			288
10		1040			790
11		8591			7448
12		40766			24862
13		300666			300328
14		1.73905e+06			1.77777e+06
15		1.09538e+07			6.78011e+06
16		7.80854e+07			5.88748e+07

probBLOCKS-6-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
3		1			1
4		4			4
5		28			28
6		94			56
7		542			536
8		1778			1100
9		9824			9968
10		31354			24420

probBLOCKS-11-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		1			1
6		16			17
7		25			25
8		262			249
9		550			481
10		5332			4905
11		13659			19157
12		127054			457933
13		390976			2.22549e+06
14		3.40073e+06			1.64273e+07
15		1.26263e+07			2.08972e+06
16		9.95915e+07			2.97061e+07
17		4.45849e+08			6.43665e+07

probBLOCKS-10-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
9		4			4
10		15			16
11		53			70
12		202			210
13		861			1397
14		3773			1378
15		17011			5409
16		90186			14155
17		399543			58778
18		2.42484e+06			1.17585e+06
19		1.09543e+07			5.02109e+06
20		6.88073e+07			1.47579e+07
21		3.37158e+08			7.37134e+07

probBLOCKS-9-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
10		4			4
11		14			15
12		52			60
13		212			178
14		942			1774
15		4294			9915
16		22140			32692
17		103605			94411
18		561140			297164
19		2.77252e+06			397534
20		1.43805e+07			4.19145e+06
21		7.87983e+07			6.8317e+06
22		3.70514e+08			3.68263e+07

probBLOCKS-9-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		1			1
11		3			3
12		7			7
13		19			18
14		61			49
15		233			200
16		1005			991
17		4539			8145
18		23152			33901
19		109478			97576
20		585296			468261
21		2.96935e+06			2.45893e+06
22		1.50414e+07			1.3063e+07
23		8.59272e+07			8.11106e+07
24		3.89455e+08			7.83405e+07
