	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 1 probe.

transport-opt11-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
74		2			2
75		7			7
76		19			21
77		47			57
78		111			103
79		255			259
80		575			833
81		1279			1921
82		2815			3531
83		6143			9729
84		13311			21505
85		28671			47105
86		61439			24560
87		131074			86410
88		278546			13
89		589913			204
90		1.24553e+06			562
91		2.62269e+06			7767
92		5.50925e+06			1313
93		1.15483e+07			69842

p19.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
255		2			2
277		5			5
278		9			9
279		14			14
280		22			25
281		36			14
282		51			20
283		69			30
284		90			38
285		113			61
286		140			113
287		169			106
288		202			176
289		237			214
290		276			154
291		319			126
292		366			84
293		416			514
294		471			518
295		534			906
296		603			994
297		683			84
298		770			89
299		875			91
300		989			94
301		1129			126
302		1288			127
303		1498			64
304		1761			450
305		2137			260
306		2701			601
307		3675			820
308		5440			6384
309		8913			32790
310		15940			9346
311		30602			22159
312		61434			41153
313		126765			256082
314		265197			224819
315		558506			379
316		1.17866e+06			43653
317		2.48729e+06			4.24345e+06
318		5.24208e+06			8.30398e+06
319		1.10284e+07			7.52901e+07
320		2.31559e+07			2.29344e+07
321		4.85226e+07			4.17288e+07

p18.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
237		2			2
250		5			5
258		7			7
260		9			9
263		13			11
265		15			13
271		20			21
273		25			25
275		28			36
276		33			55
278		40			54
283		42			74
284		51			86
285		52			51
286		70			80
287		73			113
288		74			55
289		88			221
290		89			42
291		106			43
292		109			44
293		110			243
294		113			76
295		114			197
296		127			97
297		142			75
298		151			71
299		172			79
300		185			87
301		197			95
302		219			111
303		235			156
304		277			248
305		297			250
306		312			252
307		355			541
308		371			549
309		424			487
310		475			495
311		506			397
312		604			1733
313		663			905
314		743			587
315		831			812
316		899			846
317		1057			592
318		1171			609
319		1289			626
320		1445			586
321		1602			2312
322		1829			2560
323		2060			1069
324		2327			162
325		2696			172
326		3045			987
327		3421			1872
328		3906			508
329		4473			562
330		5211			5525
331		5982			6335
332		6935			5804
333		8121			428
334		9472			465
335		11291			411
336		13558			2377
337		16525			1070
338		21056			1405
339		27913			1510
340		39550			1690
341		60936			2048
342		101221			1729
343		181953			1883
344		342354			18058
345		672613			14030
346		1.34226e+06			23685
347		2.733e+06			7555
348		5.56647e+06			4285
349		1.14589e+07			4308
350		2.3474e+07			95628
351		4.84345e+07			31130

p15.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
262		1			1
270		2			2
287		3			3
288		4			4
289		5			5
290		6			6
291		7			7
292		9			9
293		11			11
294		14			14
295		18			19
296		23			25
297		29			27
298		36			35
299		44			37
300		54			43
301		65			64
302		79			90
303		94			155
304		113			214
305		133			228
306		158			83
307		184			104
308		216			191
309		249			189
310		289			181
311		330			250
312		379			321
313		429			250
314		489			720
315		550			934
316		621			1048
317		694			2448
318		779			418
319		867			14
320		968			16
321		1073			18
322		1194			97
323		1321			1184
324		1467			3237
325		1622			1636
326		1802			7153
327		1996			344
328		2221			2533
329		2468			108
330		2758			25
331		3078			44
332		3460			51
333		3883			81
334		4403			132
335		4980			190
336		5716			1965
337		6544			411
338		7661			779
339		8978			856
340		10916			1782
341		13451			2602
342		17622			2646
343		23943			6179
344		35427			2111
345		55234			104108
346		93354			2192
347		164419			2231
348		304610			2273
349		576130			2156
350		1.11663e+06			3547
351		2.18181e+06			4118
352		4.30881e+06			188585
353		8.53363e+06			2339
354		1.69787e+07			21322
355		3.38137e+07			231

p12.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
218		1			1
252		2			2
256		4			4
259		5			5
261		6			6
262		8			8
264		9			9
265		10			10
270		12			12
271		13			12
273		14			12
274		15			12
276		16			12
277		17			12
280		26			20
283		31			31
284		32			31
285		33			41
286		34			41
287		35			24
288		36			24
289		39			55
290		46			57
292		49			95
