	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 1 probe.

elevators-opt08-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		1			1
14		19			19
15		55			55
16		82			82
17		100			100
19		685			490
20		3187			4636
21		8632			1855
22		13276			1603
23		16225			4905
24		17812			4591
25		97543			3097
26		1.03437e+06			125531
27		3.31267e+06			1.30013e+06
28		5.61709e+06			2.39331e+06

p17.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
11		1			1
16		26			26
17		101			101
18		151			151
19		201			201
20		251			251
21		326			326
22		5622			13005
23		20583			14851
24		34120			8471
25		49789			5601
26		66879			6153
27		191951			115665
28		1.88323e+06			339075
29		4.76616e+06			40942

p20.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
14		4			4
15		13			13
16		16			16
17		25			25
18		37			37
19		40			40
20		147			67
21		514			379
22		957			652
23		1443			568
24		2324			559
25		3144			2101
26		13877			840
27		45127			1814
28		105218			2298
29		186038			1323
30		338200			35904
31		572085			23912
32		1.28446e+06			28457

p28.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
14		149			149
15		334			334
16		445			445
17		519			519
18		556			556
19		1222			556
20		38035			117580
21		108192			160516
22		188034			766789
23		241746			12841
24		279012			15031
25		1.32116e+06			2881

p23.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
14		13			13
15		34			34
16		40			40
17		43			43
19		57			43
20		288			70
21		1043			400
22		2388			3723
23		3375			7150
24		3922			4725
25		4280			4725
26		18386			14092
27		79687			27826
28		244088			34327
29		518039			22183
30		837919			18226
31		1.04223e+06			22330
32		2.57002e+06			32083
33		1.09466e+07			33373

p21.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
14		4			4
15		22			22
16		37			37
17		43			43
20		220			193
21		844			712
22		1424			409
23		1843			975
24		2034			3975
25		2452			5033
26		14772			721
27		50467			1507
28		92722			14160
29		122292			167676
30		142238			17416
31		224578			20062
32		1.30574e+06			2.51925e+06
33		4.69119e+06			61036
34		9.21924e+06			48721
35		1.31689e+07			28081
36		1.58594e+07			276547

p03.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
14		7			7
15		22			22
16		25			25
17		28			28
19		60			28
20		225			73
21		426			841
22		772			121
23		975			373
24		1126			421
25		1381			226
26		5916			2539
27		17918			12508
28		32290			5728
29		51765			142528
30		67989			3312
31		93482			3561
32		228760			7841
33		766891			466894
34		1.89276e+06			176914
35		3.59185e+06			19084
36		5.49037e+06			34936
37		7.84087e+06			882988
38		1.47963e+07			14926

p24.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
7		1			1
13		19			19
14		91			91
15		118			118
16		145			145
19		814			1345
20		5674			1843
21		15649			706
22		20634			772
23		25862			16921
24		26827			9835
25		63735			11911
26		628587			58717
27		2.97885e+06			34549

p09.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
14		7			7
15		19			19
16		25			25
17		31			31
19		40			31
20		220			285
21		643			646
22		1338			2365
23		1823			1507
24		2114			337
25		2399			769
26		19517			1399
27		80119			14413
28		160934			80575
29		286874			558815
30		352495			685499
31		684574			299071
32		2.48411e+06			315211
33		1.08448e+07			607325

p08.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
14		75			75
15		149			149
16		371			371
18		408			408
19		1345			1600
20		17190			10977
21		78164			98121
22		91507			4270
23		146610			59070
24		167490			164319
25		543832			14161
26		4.77922e+06			5.338e+06

p16.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		1			1
16		13			13
17		19			19
18		28			28
19		31			31
20		40			40
21		55			106
22		223			118
23		515			180
24		766			236
25		1093			318
26		1588			343
27		2194			2198
28		7959			405
29		19199			781
30		39017			6388
31		62947			9175
32		105346			1701
33		165843			9568
34		428986			44239
35		1.14869e+06			34440
36		2.66433e+06			151946
37		5.72324e+06			60364
38		9.95214e+06			28441

p11.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
11		1			1
16		4			4
17		6			6
18		9			9
19		10			10
20		13			13
21		18			17
22		28			22
23		49			45
24		69			77
25		100			87
26		141			132
27		228			241
28		330			443
29		484			1042
30		744			199
31		1110			1399
32		2136			1087
33		4053			1626
34		6438			2017
35		9481			4128
36		13601			2933
37		23120			6977
38		49694			552
39		108910			15669
40		201411			20033
41		325585			26893
42		511106			58661
43		861425			55261
44		1.85865e+06			253831
45		4.19696e+06			74059
46		8.38066e+06			101747
47		1.5137e+07			66977
48		2.53289e+07			499217

p27.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
14		3			3
15		7			7
16		12			12
17		13			13
18		14			14
19		17			14
20		47			23
21		155			99
22		235			263
23		327			322
24		370			353
25		441			389
26		2201			2875
27		7674			10860
28		14794			3978
29		21739			192447
30		28102			226647
31		40412			24746
32		135055			12438
33		746650			88427
34		1.84701e+06			5.30988e+06
35		3.17698e+06			49840
36		4.51155e+06			56350
37		6.15626e+06			2.07652e+06

p02.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
7		1			1
13		51			51
14		151			151
15		188			188
16		238			238
18		251			251
19		2753			1235
20		13573			1623
21		32300			83646
22		44554			15380
23		55026			53741
24		59448			109595
25		191936			2731
26		1.20417e+06			1.24173e+06
