	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 1 probe.

woodworking-opt08-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
145		1.80798e+06			931765
150		4.65243e+06			261189
155		1.20153e+07			219137
160		3.15372e+07			6.90746e+06
165		8.27478e+07			1.64427e+07
170		2.17045e+08			7.59172e+06

p21.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
40		1			1
60		2			2
65		3			3
70		7			7
75		12			16
80		30			32
85		56			74
90		141			57
95		468			166

p03.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
105		3			3
115		11			11
125		66			154
130		70			236
135		704			90
140		860			90
145		7468			6432
150		10998			1903
155		84121			2674
160		154640			4236
165		927598			15943
170		2.06641e+06			48377
175		1.04184e+07			136824
180		2.71615e+07			121508
185		1.17677e+08			182130

p24.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
60		1			1
70		2			2
75		5			3
80		15			6
85		24			30
90		69			78
95		150			170
100		485			113
105		1243			391
110		4666			177
115		15819			561
120		62603			4108
125		246179			7899
130		1.02661e+06			16961
135		4.24399e+06			135253
140		1.78134e+07			1.6981e+06
145		7.27601e+07			1.41425e+06

p09.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
75		1			1
85		5			5
90		19			27
95		57			125
100		203			51
105		967			34
110		3354			106
115		13654			120
120		62773			38706
125		255957			13259
130		1.10668e+06			1875
135		5.22433e+06			30667
140		2.34503e+07			192717

p08.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
75		1			1
85		5			5
90		12			15
95		49			21
100		125			21
105		592			1384
110		1782			6133
115		7949			247
120		27998			2028
125		129849			1668
130		504995			55345
135		2.4202e+06			3155
140		1.04937e+07			36450

p16.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
60		1			1
70		4			3
80		32			21
85		94			27
90		368			591
95		1858			45
100		9069			9101
105		35724			1043
110		177975			2411
115		710027			5251
120		2.40917e+06			12511
125		1.01918e+07			28709
130		4.16458e+07			36429

p11.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
50		1			1
60		3			3
70		6			6
75		7			7
80		20			15
85		26			18
90		81			55
95		109			124
100		264			226
105		416			374
110		1046			659
115		1812			1327
120		4511			789
125		8855			1442
130		20201			26910

p27.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
60		1			1
70		2			2
80		7			7
85		11			13
90		55			45
95		127			67
100		535			55
105		1554			125
110		6286			390
115		19208			822
120		77049			1160
125		249048			311518
130		889101			626773
135		2.78447e+06			63005
140		1.01966e+07			64513

p02.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
75		1			1
80		2			2
85		3			3
90		12			8
95		35			73
100		82			19
105		227			76
110		662			157
115		1584			233
120		4077			1225
125		11291			56829
130		28311			715
135		72580			3247
140		195551			6788
145		497457			11319
150		1.26559e+06			107841
155		3.33987e+06			1.17995e+06
160		8.51305e+06			45785
165		2.15841e+07			201852
170		5.60019e+07			5.7256e+06
175		1.43339e+08			3.78884e+06
