	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 1 probe.

elevators-opt11-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
22		31260			7490
23		40578			437015
24		49530			67475
25		443433			100316
26		2.35158e+06			335729
27		5.05985e+06			36809
28		9.1657e+06			27434

p16.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
14		2			2
15		4			4
16		8			8
18		11			11
19		12			12
20		20			16
21		39			19
22		65			32
23		120			112
24		153			210
25		227			137
26		301			378
27		563			1980
28		1127			271
29		2169			530
30		4008			4340
31		5949			3973
32		8955			5677
33		13930			8553
34		30672			7802
35		70410			150008
36		143449			1.43966e+06
37		262108			68357
38		411404			51536
39		686153			44799
40		1.3697e+06			459983
41		3.31483e+06			89643
42		7.92476e+06			550316
43		1.55277e+07			32797

p11.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
14		149			149
15		334			334
16		445			445
17		519			519
18		556			556
19		1222			556
20		38035			2716
21		108192			5596
22		188034			12733
23		241746			19393
24		279012			163807
25		1.32116e+06			240523

p02.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
14		4			4
15		22			22
16		37			37
17		43			43
20		220			232
21		844			154
22		1424			1305
23		1843			1405
24		2034			7823
25		2452			8309
26		14772			577
27		50467			1485
28		92722			12001
29		122292			6241
30		142238			18636
31		224578			8154
32		1.30574e+06			57088
33		4.69119e+06			99865
34		9.21924e+06			30187
35		1.31689e+07			3655
36		1.58594e+07			183481
