	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 1 probe.

transport-opt08-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
300		357			161
301		432			199
302		515			143
303		638			103
304		774			180
305		964			746
306		1168			889
307		1444			922
308		1732			341
309		2106			1762
310		2495			2076
311		2980			2420
312		3490			2794
313		4124			1134
314		4788			705
315		5613			187
316		6482			154
317		7541			670
318		8676			1846
319		10057			455
320		11533			607
321		13367			751
322		15361			3862
323		17849			803
324		20611			258817
325		24118			1499
326		28010			1605
327		33021			2789
328		38655			2293
329		45989			12933
330		54416			1465
331		65731			44696
332		79479			12381
333		99383			31463
334		127095			32329
335		173079			51251
336		250290			2990
337		397323			10875
338		680014			1.94456e+06
339		1.26002e+06			50321
340		2.44232e+06			197731

p07.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
65		1			1
66		2			2
67		3			3
68		4			4
69		5			5
70		6			6
71		7			7
72		8			8
73		9			9
74		10			10
75		11			11
76		12			12
77		13			13
78		14			14
79		15			15
80		16			16
81		18			3
82		21			5
83		26			8
84		34			12
85		45			16
86		61			12
87		83			16
88		111			260
89		149			33
90		200			26
91		273			44
92		383			98
93		560			3153
94		863			69
95		1412			77
96		2446			69
97		4439			85
98		8340			144131
99		16045			118
100		31345			180
101		61819			41224
102		122628			2.31225e+06
103		244112			240
104		486961			182
105		972679			206
106		1.94428e+06			572
107		3.88834e+06			769
108		7.77814e+06			858

p05.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
68		2			2
69		5			5
70		9			9
71		14			14
72		20			20
73		27			27
74		35			35
75		44			44
76		54			54
77		65			65
78		77			77
79		90			90
80		104			104
81		119			119
82		138			268
83		159			596
84		188			88
85		221			41
86		271			15
87		331			17
88		422			22
89		538			25
90		718			24
91		986			43
92		1443			4827
93		2222			6450
94		3651			3156
95		6300			3705
96		11394			371
97		21268			1195
98		40702			2039
99		79106			81329
100		155493			152881
101		307716			11164
102		611935			4.20623e+06
103		1.22046e+06			240
104		2.43927e+06			66629
105		4.8815e+06			132867
106		9.77825e+06			262903
107		1.95988e+07			525349
108		3.93005e+07			1.0498e+06

p22.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
212		1			1
213		2			2
214		3			3
215		4			4
216		5			5
217		6			6
218		7			7
219		8			8
220		9			9
221		10			10
222		11			11
223		12			12
224		13			13
225		14			14
226		15			15
227		16			16
228		17			17
229		18			18
230		19			19
231		20			20
232		21			21
233		22			22
234		23			23
235		24			24
236		25			25
237		26			26
238		27			27
239		28			28
240		29			29
241		30			30
242		31			31
243		32			32
244		34			65
245		38			7
246		46			15
247		62			31
248		94			63
249		158			127
250		286			255
251		542			511
252		1054			1023
253		2078			2047
254		4126			4095
255		8222			8191
256		16414			16383
257		32798			32767
258		65566			65535
259		131102			131071
260		262174			262143
261		524319			524288
262		1.04861e+06			1.04858e+06
263		2.09719e+06			2.09716e+06
264		4.19434e+06			4.19433e+06
265		8.38865e+06			8.38862e+06

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
51		1			1
52		3			3
53		9			7
54		25			15

p10.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
91		3			3
92		9			9
93		19			19
94		34			34
95		55			55
96		83			83
97		119			119
98		164			164
99		219			219
100		285			285
101		363			363
102		462			849
103		592			55
104		799			113
105		1156			277
106		1891			205
107		3469			51
108		7123			72
109		15649			230
110		35841			569
111		83332			6493
112		194579			2493
113		452767			3466
114		1.04728e+06			80456
115		2.40468e+06			1850
116		5.48087e+06			4.80928e+07

p04.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
94		1			1
109		2			2
113		6			6
121		7			7
122		10			11
123		12			12
124		14			14
125		21			20
126		23			23
127		25			26
128		27			29
129		29			32
130		32			15
131		40			41
132		55			60
133		65			77
134		76			97
135		88			117
136		101			173
137		115			208
138		130			246
139		146			287
140		173			359
141		227			298
142		265			350
143		307			501
144		353			563
145		408			654
146		468			456
147		544			207
148		622			266
149		711			292
150		828			353
151		978			425
152		1143			486
153		1338			3142
154		1581			1424
155		1879			1650
156		2254			524
157		2744			2207
158		3394			1755
159		4352			2257
160		5820			4836
161		8217			606
162		12375			7679
163		19982			29408
164		34215			17930
165		61618			2514
166		115150			1437
167		220704			4.67594e+06
168		430102			545
169		846877			1598
170		1.67801e+06			815
171		3.33735e+06			6460
172		6.65279e+06			56959
173		1.328e+07			28357
174		2.65302e+07			397574
175		5.30267e+07			746609
176		1.06017e+08			4179

p26.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
144		1			1
145		2			2
146		3			3
147		4			4
148		5			5
149		6			6
150		7			7
151		8			8
152		9			9
153		10			10
154		11			11
155		12			12
156		14			25
157		17			7
158		22			103
159		30			31
160		44			63
161		69			831
162		116			255
163		206			159
164		382			1023
165		729			2047
166		1418			4095
167		2790			25
168		5530			10
169		11006			230
170		21955			31
171		43845			64

p06.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
72		1			1
73		2			2
74		3			3
75		4			4
76		5			5
77		7			7
78		10			10
79		14			14
80		19			19
81		25			25
82		32			32
83		40			40
84		50			89
85		62			14
86		76			17
87		94			24
88		114			19
89		141			25
90		175			16
91		222			64
92		282			290
93		361			276
94		461			143
95		589			21
96		751			60
97		956			338
98		1215			2658
99		1547			225
100		1974			254
101		2557			443
102		3384			253
103		4701			230
104		6994			557
105		11558			394
106		21599			128
107		45894			1025
108		108573			87228
109		278302			620586
110		752787			4.43064e+06
111		2.10934e+06			678
112		6.0464e+06			29842
113		1.7593e+07			13894

p17.pddl
