	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 10 probes.

transport-opt11-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
114		349			175.2
115		395			352.6
116		443			263.8
117		515			404
118		599			166.2
119		733			578.2
120		877			498.6
121		1135			855.8
122		1421			1212.8
123		1925			2945.6
124		2789			3757
125		4485			6328.4
126		7765			9478.2
127		14611			16956.8
128		28741			82079.2
129		58655			100278
130		121673			1961.8
131		255111			4949
132		536767			886133
133		1.13146e+06			2.78891e+06
134		2.38404e+06			2.85905e+06
135		5.01846e+06			1.77316e+06
136		1.05475e+07			13486.8
137		2.21305e+07			4.92164e+07
138		4.63498e+07			4.32947e+08

p07.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
90		3			3
91		11			11
92		31			30.8
93		80			76.4
94		197			186.5
95		471			484.6
96		1103			950.5
97		2543			2491.4
98		5791			5027.7
99		13055			13157.2
100		29183			27916.8
101		64767			66042.9
102		142848			162968
103		313351			376164
104		684071			712428
105		1.48701e+06			1.46173e+06
106		3.22005e+06			4.21043e+06
107		6.94883e+06			8.24116e+06
108		1.49488e+07			1.12724e+07
109		3.20678e+07			6.59518e+07
110		6.8615e+07			1.25236e+08

p05.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
255		1			1
256		2			2
257		3			3
258		4			4
259		5			5
260		6			6
261		7			7
262		8			8
263		9			9
264		10			10
265		11			11
266		12			12
267		13			13
268		14			14
269		15			15
270		16			16
271		17			17
272		18			18
273		19			19
274		20			20
275		21			21
276		22			22
277		23			23
278		24			24
279		25			25
280		26			26
281		27			27
282		28			28
283		29			29
284		30			30
285		31			31
286		32			32
287		33			33
288		34			34
289		35			35
290		36			36
291		37			37
292		38			38
293		39			39
294		40			40
295		41			41
296		42			42
297		43			43
298		46			41.8
299		50			8.5
300		57			135.7
301		68			374.8
302		86			64.9
303		118			39.4
304		173			124.6
305		278			126.7
306		470			47.8
307		848			360.4
308		1569			474.4
309		3004			133.6
310		5806			3844.3
311		11402			7595.5
312		22461			15217.3
313		44570			30199.9
314		88526			481
315		176430			31.5
316		351722			3137.4
317		702300			3134.5
318		1.40243e+06			1.83513e+06
319		2.8027e+06			267
320		5.60122e+06			863.2
321		1.11983e+07			1529.6
322		2.23885e+07			1773.9
