	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 10 probes.

barman-opt11-strips

pfile05-018.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		19			19
15		21			21
16		907			1233
17		1059			1717.8
18		34825			18504
19		43965			39108
20		1.33168e+06			629110
21		1.81181e+06			718798
22		5.09419e+07			9.37591e+06

pfile01-004.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		9			9
15		11			11
16		207			219
17		279			333.4
18		3855			2928.2
19		5895			3578.2
20		71367			58797
21		122151			52177.4
22		1.32414e+06			952589
23		2.50036e+06			1.06012e+06
24		2.46212e+07			9.69069e+06
25		5.06703e+07			4.43722e+07

pfile03-009.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		13			13
15		15			15
16		427			375
17		531			435
18		11311			10855
19		15579			27025
20		298075			192835
21		451419			317865
22		7.86258e+06			5.02978e+06
23		1.29751e+07			3.57032e+06

pfile05-019.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		19			19
15		21			21
16		907			606.8
17		1059			990.6
18		34825			36764.8
19		43965			104920
20		1.33168e+06			839513
21		1.81181e+06			946593
22		5.09419e+07			1.8354e+07

pfile03-011.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		13			13
15		15			15
16		427			365
17		531			675
18		11311			6675
19		15579			24755
20		298075			311995
21		451419			251505
22		7.86258e+06			3.16688e+06
23		1.29751e+07			8.11964e+06

pfile05-017.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		19			19
15		21			21
16		907			566.4
17		1059			1394.6
18		34825			23836.8
19		43965			24261
20		1.33168e+06			837897
21		1.81181e+06			1.08797e+06
22		5.09419e+07			1.41166e+07

pfile03-012.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		13			13
15		15			15
16		427			405
17		531			435
18		11311			24005
19		15579			26985
20		298075			449685
21		451419			180375
22		7.86258e+06			1.53065e+07
23		1.29751e+07			1.37149e+07

pfile02-006.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		11			11
15		13			13
16		307			190.6
17		395			397.8
18		6921			6465.8
19		9973			8537.8
20		155157			159801
21		247955			159246
22		3.48326e+06			3.02023e+06
23		6.10424e+06			2.92861e+06
24		7.83038e+07			3.27035e+07
25		1.49012e+08			1.06522e+08

pfile02-005.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		11			11
15		13			13
16		307			323.8
17		395			545.8
18		6921			6976.4
19		9973			7390.8
20		155157			86223
21		247955			83433.2
22		3.48326e+06			2.37442e+06
23		6.10424e+06			3.39928e+06
24		7.83038e+07			8.97446e+07
25		1.49012e+08			4.52046e+07

pfile04-014.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		17			17
15		19			19
16		727			675
17		863			3823.8
18		25023			24815.8
19		32335			31703.8
20		857487			678635
21		1.2011e+06			727047
22		2.93992e+07			2.15e+07
23		4.43656e+07			2.44234e+07

pfile02-008.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		11			11
15		13			13
16		307			257.2
17		395			309
18		6921			15153.4
19		9973			19630.4
20		155157			331570
21		247955			299380
22		3.48326e+06			2.93599e+06
23		6.10424e+06			2.89844e+06
24		7.83038e+07			1.12054e+08
25		1.49012e+08			1.66166e+07

pfile02-007.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		11			11
15		13			13
16		307			331.2
17		395			397.8
18		6921			5622.2
19		9973			7598
20		155157			208774
21		247955			164315
22		3.48326e+06			943343
23		6.10424e+06			1.09738e+07
24		7.83038e+07			5.65055e+07
25		1.49012e+08			3.55655e+07

pfile05-020.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		19			19
15		21			21
16		907			1536
17		1059			990.6
18		34825			50965.4
19		43965			77589
20		1.33168e+06			1.63419e+07
21		1.81181e+06			1.83635e+07
22		5.09419e+07			2.68736e+07

pfile04-015.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		17			17
15		19			19
16		727			461.8
17		863			773.4
18		25023			39805.4
19		32335			32228.6
20		857487			1.14795e+06
21		1.2011e+06			1.38969e+06
22		2.93992e+07			3.32142e+07
23		4.43656e+07			7.56109e+06

pfile01-003.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		9			9
15		11			11
16		207			182.6
17		279			208.6
18		3855			3073.8
19		5895			6433
20		71367			77714.6
