	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 10 probes.

elevators-opt11-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
14		75			75
15		149			149
16		371			371
18		408			408
19		1345			1307.6
20		17190			9429.8
21		78164			23065.8
22		91507			31715.9
23		146610			57371.7
24		167490			74215.8
25		543832			502614
26		4.77922e+06			2.72687e+06

p19.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
14		13			13
15		34			34
16		40			40
17		43			43
19		57			57.3
20		288			229.6
21		1043			654.5
22		2388			1304.5
23		3375			6978.3
24		3922			4866.1
25		4280			3683.5
26		18386			9254.3
27		79687			290337
28		244088			77277.7
29		518039			143140
30		837919			95972.5
31		1.04223e+06			76455.7
32		2.57002e+06			260688
33		1.09466e+07			2.99714e+07

p18.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
14		28			28
15		37			37
16		64			64
17		73			73
18		127			127
19		136			136
20		1148			1043.2
21		2921			2475.8
22		4804			3118.6
23		7260			10297.1
24		11828			6631.7
25		14473			23682.5
26		88113			17699.9
27		276970			11641.1
28		603169			340084
29		1.01236e+06			40333.6
30		1.78454e+06			1.08877e+06
31		2.56093e+06			3.00218e+06

p15.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
14		7			7
15		19			19
16		25			25
17		31			31
19		40			39.1
20		220			198.5
21		643			633.1
22		1338			1367.8
23		1823			1194.8
24		2114			2272.6
25		2399			4367.2
26		19517			21182.8
27		80119			72566.4
28		160934			78682.4
29		286874			194987
30		352495			93261
31		684574			100991
32		2.48411e+06			233529
33		1.08448e+07			371077

p12.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
14		19			19
15		55			55
16		82			82
17		100			100
19		685			802
20		3187			4294.9
21		8632			10438.6
22		13276			22219
23		16225			14387.8
24		17812			7424.4
25		97543			9138.4
26		1.03437e+06			1.04247e+06
27		3.31267e+06			4.23464e+07
28		5.61709e+06			1.04589e+06

p13.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
14		23			23
15		89			89
16		155			155
17		199			199
18		221			221
20		4137			4614
21		16504			15013.5
22		35537			68978.9
23		57943			107634
24		66413			93628.8
25		131586			210145
26		769556			466348
27		4.4234e+06			7.43374e+06

p07.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
14		148			148
15		491			491
16		687			687
17		736			736
18		785			785
19		4165			7025
20		27328			45551.9
21		107203			70172.3
22		278777			113410
23		475980			280435
24		571604			240280
25		1.1772e+06			520470

p05.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		1			1
15		15			15
16		29			29
17		57			57
18		71			71
19		78			78
20		129			134.6
21		252			279.6
22		964			744.8
