	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 10 probes.

visitall-opt11-strips

problem09-half.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
9		2			2
10		9			9
11		23			22
12		93			97.4
13		270			258
14		1081			1011.1
15		3385			3680.6
16		13541			13355.4
17		44466			46038.4
18		177861			159221
19		602756			576685
20		2.41084e+06			2.44069e+06
21		8.34688e+06			8.68336e+06
22		3.33832e+07			3.08739e+07
23		1.17281e+08			1.1184e+08
24		4.69052e+08			4.60858e+08

problem05-full.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		1			1
6		9			9
8		93			91.4
10		1065			1055.8
12		12645			14883
14		151593			150208
15		151833			150208
16		1.82529e+06			1.95383e+06
17		1.83424e+06			1.95383e+06
18		2.20412e+07			2.37741e+07
19		2.22525e+07			2.5047e+07
20		2.66717e+08			2.47925e+08
21		2.70793e+08			2.75959e+08
22		3.2326e+09			3.09928e+09

problem08-half.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
7		1			1
8		2			2
9		9			9
10		23			23.8
11		93			92.6
12		270			260.4
13		1081			1052.2
14		3385			3320.6
15		13531			14174.7
16		44420			47272
17		177059			178490
18		599953			678969
19		2.3804e+06			2.07352e+06
20		8.24962e+06			8.13665e+06
21		3.25447e+07			3.351e+07
22		1.1469e+08			1.14733e+08
23		4.49715e+08			4.81904e+08
24		1.60523e+09			1.46169e+09

problem06-full.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		1			1
7		3			3
8		11			11
9		35			35
10		123			123.8
11		417			421.8
12		1487			1492.6
13		5213			5294.6
14		18735			19331.4
15		66835			71651
16		240743			239129
17		866757			845283
18		3.12336e+06			3.15515e+06
19		1.13034e+07			1.1135e+07
20		4.07291e+07			3.96519e+07
21		1.47856e+08			1.59214e+08
22		5.32705e+08			4.84013e+08
23		1.93765e+09			1.89626e+09

problem11-half.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		1			1
11		2			2
12		11			10.6
13		23			24.4
14		123			116.1
15		270			281.3
16		1495			1480.9
17		3385			3608.9
18		19261			17953.8
19		44471			40589.2
20		257915			239119
21		603373			645061
22		3.54789e+06			3.44164e+06
23		8.37817e+06			7.58351e+06
24		4.97747e+07			5.68157e+07
25		1.18356e+08			1.14074e+08
26		7.08702e+08			6.84673e+08

problem04-half.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		1			1
5		3			3
6		11			11
7		35			35
8		117			117
9		391			379
10		1269			1293.2
11		4367			4185.6

problem04-full.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		1			1
5		3			3
6		11			11
7		35			35
8		117			117
9		391			416.2
10		1269			1233
11		4319			4185.6
12		13961			12730.4
13		47873			48283.6
14		154971			149968
15		532209			643709

problem02-full.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
2		1			1
3		7			7

problem09-full.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
10		9			9
12		93			93.8
14		1081			1153
16		13541			13386.6
18		177861			176155
20		2.41084e+06			2.26181e+06
22		3.33832e+07			3.46708e+07
24		4.69043e+08			4.56979e+08

problem07-half.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		1			1
8		9			9
10		93			96.2
12		1081			1118.2
14		13521			13901.4
16		176257			174640
18		2.34997e+06			2.57347e+06
20		3.17068e+07			3.31795e+07
21		3.17089e+07			3.31795e+07
22		4.30502e+08			5.36009e+08
23		4.30614e+08			5.36009e+08

problem10-half.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
11		9			9
12		13			13
13		93			93
14		153			153
15		1081			1139.4
16		1909			1908.2
17		13541			13832.2
18		24981			24870.6
19		177873			176591
20		337853			329108
21		2.41216e+06			2.41924e+06
22		4.67589e+06			4.51781e+06
23		3.34478e+07			3.17104e+07
24		6.5788e+07			6.8465e+07
25		4.71231e+08			4.30184e+08

problem08-full.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
9		3			3
10		11			11
11		35			35
12		123			121.4
13		417			413.4
14		1495			1499.4
15		5275			5304.6
16		19251			19310.2
17		69589			67075.8
18		256989			257466
19		942917			982855
20		3.50803e+06			3.7186e+06
21		1.29926e+07			1.29557e+07
22		4.85526e+07			4.71086e+07
23		1.80902e+08			1.91067e+08
24		6.77759e+08			6.73764e+08

problem02-half.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
1		2			2

problem05-half.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		1			1
6		11			11.4
8		123			127.8
10		1449			1414.2
12		17385			18047.8
13		17465			18047.8
14		210173			245080
15		213023			245080
16		2.55372e+06			2.54219e+06
17		2.62001e+06			2.84228e+06
18		3.11459e+07			3.50488e+07

problem11-full.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		1			1
12		9			9
14		93			84.2
16		1081			1111
18		13541			13785
20		177885			204335
22		2.41349e+06			2.35548e+06
24		3.35124e+07			3.66225e+07
26		4.73419e+08			4.14754e+08

problem03-half.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
2		1			1
4		9			9
5		11			11.4
6		89			81

problem10-full.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		1			1
11		3			3
12		11			11
13		35			35
14		123			122.2
15		417			420.2
16		1495			1499.4
17		5275			5279
18		19261			19681.8
19		69681			71601
20		257903			253931
21		948715			908212
22		3.54654e+06			3.25235e+06
23		1.31995e+07			1.40994e+07
24		4.97074e+07			4.97409e+07
25		1.86562e+08			1.98517e+08
26		7.06366e+08			7.05913e+08

problem07-full.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		1			1
8		9			9
10		93			91.4
12		1081			1059.4
14		13521			12355.8
16		176257			150401
18		2.34997e+06			2.20848e+06
20		3.17061e+07			3.2898e+07
21		3.17089e+07			3.2898e+07
22		4.30466e+08			4.0252e+08
23		4.30608e+08			4.0252e+08

problem03-full.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
2		1			1
4		9			9
6		81			81
8		705			810.6

problem06-half.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
5		1			1
7		9			9
8		11			10.6
9		93			92.2
10		123			143.4
11		1073			999
12		1487			1354.6
13		13083			13179.4
14		18735			18245.4
15		163925			157952
16		240743			271992
17		2.08487e+06			1.9173e+06
18		3.1242e+06			3.30032e+06
19		2.67608e+07			2.73198e+07
20		4.07743e+07			3.94454e+07
21		3.45593e+08			3.66412e+08
22		5.34146e+08			5.45985e+08
