	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 10 probes.

blocks

probBLOCKS-15-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
26		38			13.5
28		2993			11491
30		181180			22230.5
32		9.92211e+06			1.455e+06
33		9.92522e+06			2.43013e+06
34		5.20199e+08			2.2795e+08
35		5.20998e+08			2.2795e+08

probBLOCKS-16-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
26		3			3
28		21			19.8
29		23			25.2
30		175			227.4
31		194			211.2
32		1943			2259.6
33		2140			2380.2
34		29110			21120
35		32004			24750.6
36		565198			1.28191e+06
37		626809			1.28486e+06
38		1.34376e+07			9.47156e+06
39		1.51338e+07			1.05395e+07
40		3.69302e+08			1.1002e+08
41		4.2336e+08			9.71992e+08
42		1.11719e+10			1.30315e+11

probBLOCKS-5-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		2			2
10		7			7.2
12		29			22.6
14		170			230.6
15		177			162
16		1497			3609.2

probBLOCKS-9-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
16		3			3
18		16			15
19		18			16.2
20		98			100.4
21		118			120.6
22		793			550.2
23		987			709.8
24		9115			28870.4
25		11097			10276.8
26		193819			60251.2

probBLOCKS-8-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		82			241
15		84			66
16		4261			300.2

probBLOCKS-6-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		6			6
11		7			7
12		70			60.4

probBLOCKS-4-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		10			13.4

probBLOCKS-8-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
12		5			5.8
13		7			10
14		113			148.7
15		150			105.5
16		2316			1415.5
17		3051			1724.2
18		47413			57203

probBLOCKS-4-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		1			1
5		2			2
6		4			4
7		6			6
8		12			12
9		17			17.6
10		48			34.8

probBLOCKS-13-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
24		4			4
26		55			46.6
28		927			717.4
30		26066			11533.9
31		26142			11533.9
32		981982			33363.7
33		995413			288110
34		4.01068e+07			1.76547e+07
35		4.14996e+07			1.76547e+07
36		1.69652e+09			7.90093e+07
37		1.8084e+09			7.03328e+07

probBLOCKS-11-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
20		23			360.7
21		28			540.7
22		1315			10925.5
23		1618			15726.4
24		69606			322465
25		86557			278429
26		3.51914e+06			3.05808e+06
