	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 10 probes

woodworking-opt11-strips

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
165		3			3
170		5			5
175		473593			662384
180		1.59286e+06			1.50698e+06
185		3.51675e+06			3.88155e+06
190		1.68693e+07			1.45262e+07
195		9.99192e+07			3.2662e+08

p03.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
185		2			2
195		19			17.6
200		21			20.6
205		320			464.1
210		490			434.9
215		6.23222e+08			9.1028e+08

p02.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
195		1			1
205		2849			2519
210		6228			6348.5
215		9807			5723.6
220		29094			24331.7
225		3.94547e+06			6.42318e+06
