	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 5000 probes.

tidybot-opt11-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		2			2
7		8			8
8		31			31
9		90			89.8588
10		309			309.491
11		926			929.82
12		3307			3347.64
13		11001			11081.2
14		41097			42349
15		147520			147799
16		560964			569805
17		2.0793e+06			2.15574e+06
18		7.91177e+06			8.33874e+06
19		2.95398e+07			3.01318e+07

p19.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		2			2
7		8			8
8		31			31
9		90			90.052
10		309			308.837
11		877			879.483
12		3007			3020.96
13		8766			8837.56
14		30648			31681.1
15		93240			94942.7
16		334658			338940
17		1.06791e+06			1.08946e+06
18		3.94038e+06			3.89792e+06
19		1.31401e+07			1.38337e+07
20		4.96487e+07			4.94204e+07

p18.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
7		1			1
8		3			3
9		7			7
10		20			19.9366
11		49			49.2644
12		149			148.824
13		375			376.4
14		1222			1233.65
15		3225			3276.48
16		11110			11115.6
17		31047			30547.1
18		111600			111865
19		330465			332549
20		1.22453e+06			1.27206e+06
21		3.81689e+06			4.13951e+06
22		1.44239e+07			1.38529e+07
23		4.6832e+07			4.80864e+07

p15.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		5			5
7		27			27
8		133			133
9		471			469.957
10		1923			1927.17
11		6569			6622.75
12		26708			26772.6
13		96436			98411.4
14		398599			407572
15		1.51544e+06			1.54915e+06
16		6.26236e+06			6.43053e+06
17		2.44189e+07			2.46101e+07

p12.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		1			1
11		3			3
12		9			9
13		21			21
14		59			59.1982
15		150			151.26
16		455			458.256
17		1324			1341.44
18		4298			4395.99
19		13709			14127.7
20		45927			46847.8
21		152937			158603
22		517780			528414
23		1.75337e+06			1.81767e+06
24		5.95434e+06			6.05783e+06
25		2.02851e+07			2.09821e+07
26		6.89772e+07			7.01671e+07

p13.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		2			2
9		8			8
10		31			31
11		90			89.8924
12		309			309.744
13		931			930.582
14		3292			3317.51
15		10936			10983.9
16		39918			40102.8
17		141437			141994
18		520240			531886
19		1.88877e+06			1.93813e+06
20		6.91198e+06			7.18013e+06
21		2.51879e+07			2.54073e+07
22		9.14574e+07			9.09228e+07

p07.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
7		5			5
8		27			27
9		95			95
10		317			316.338
11		1084			1085.69
12		3543			3559.34
13		12073			12353.8
14		40910			41142.7
15		145044			148248
16		502302			505359
17		1.88258e+06			1.97136e+06

p05.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		2			2
10		8			8
11		23			23
12		62			61.96
13		180			180.586
14		473			474.502
15		1342			1346.56
16		3512			3538.15
17		9749			9839.47
18		25482			25917.4
19		70239			71022.4
20		184550			188896
21		513033			529553
22		1.36898e+06			1.37347e+06
23		3.89587e+06			4.01733e+06
24		1.06921e+07			1.14344e+07
25		3.15501e+07			3.39179e+07
26		9.009e+07			9.56532e+07
27		2.77555e+08			2.72676e+08

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		65			65

p10.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		1			1
11		3			3
12		9			9
13		21			21
14		59			59.2942
15		150			151.235
16		455			457.704
17		1324			1350.58
18		4298			4408.58
19		13709			13748.5
20		45927			46485.5
21		152937			156489
22		517760			----zero_info----
23		1.75322e+06			1.7829e+06
24		5.95296e+06			6.06374e+06
25		2.0276e+07			2.09757e+07
26		6.89242e+07			7.25048e+07

p04.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		2			2
9		8			8
10		23			23
11		62			61.978
12		180			180.558
13		473			472.95
14		1342			1340.18
15		3512			3535.71
16		9720			9735.3
17		25324			25279.2
18		68967			69250.8
