Experiment 2: transport-opt08-strips using gapdb_deep heuristic with 500 probes



instance_name: p01_F_123.csv

A*:		{(0_ipdb, 112),(1_gapdb, 112),(2_lmcut, 126),(3_gapdb, 112),(4_mands, 112),(5_gapdb, 112),(6_gapdb, 112),(7_gapdb, 112),(8_gapdb, 112),(9_gapdb, 112),(10_gapdb, 112),(11_gapdb, 112),(12_gapdb, 112),}
ss:		{(0_ipdb, 1.39862e+14),(1_gapdb, 1.39663e+14),(2_lmcut, 1.43345e+14),(3_gapdb, 1.39663e+14),(4_mands, 1.39663e+14),(5_gapdb, 1.39663e+14),(6_gapdb, 1.39663e+14),(7_gapdb, 1.39663e+14),(8_gapdb, 1.39663e+14),(9_gapdb, 1.39663e+14),(10_gapdb, 1.39663e+14),(11_gapdb, 1.39663e+14),(12_gapdb, 1.39663e+14),}

Measure_1:

-A* h1/h2
	(3_gapdb, 12_gapdb):	1	-	1	=	0
	(4_mands, 1_gapdb):	1	-	1	=	0
	(4_mands, 3_gapdb):	1	-	1	=	0
	(4_mands, 5_gapdb):	1	-	1	=	0
	(4_mands, 6_gapdb):	1	-	1	=	0
	(4_mands, 7_gapdb):	1	-	1	=	0
	(4_mands, 8_gapdb):	1	-	1	=	0
	(4_mands, 9_gapdb):	1	-	1	=	0
	(4_mands, 10_gapdb):	1	-	1	=	0
	(4_mands, 11_gapdb):	1	-	1	=	0
	(4_mands, 12_gapdb):	1	-	1	=	0
	(5_gapdb, 1_gapdb):	1	-	1	=	0
	(5_gapdb, 3_gapdb):	1	-	1	=	0
	(5_gapdb, 4_mands):	1	-	1	=	0
	(5_gapdb, 6_gapdb):	1	-	1	=	0
	(5_gapdb, 7_gapdb):	1	-	1	=	0
	(5_gapdb, 8_gapdb):	1	-	1	=	0
	(5_gapdb, 9_gapdb):	1	-	1	=	0
	(5_gapdb, 10_gapdb):	1	-	1	=	0
	(5_gapdb, 11_gapdb):	1	-	1	=	0
	(5_gapdb, 12_gapdb):	1	-	1	=	0
	(6_gapdb, 1_gapdb):	1	-	1	=	0
	(6_gapdb, 3_gapdb):	1	-	1	=	0
	(6_gapdb, 4_mands):	1	-	1	=	0
	(6_gapdb, 5_gapdb):	1	-	1	=	0
	(6_gapdb, 7_gapdb):	1	-	1	=	0
	(6_gapdb, 8_gapdb):	1	-	1	=	0
	(6_gapdb, 9_gapdb):	1	-	1	=	0
	(6_gapdb, 10_gapdb):	1	-	1	=	0
	(6_gapdb, 11_gapdb):	1	-	1	=	0
	(6_gapdb, 12_gapdb):	1	-	1	=	0
	(7_gapdb, 1_gapdb):	1	-	1	=	0
	(7_gapdb, 3_gapdb):	1	-	1	=	0
	(7_gapdb, 4_mands):	1	-	1	=	0
	(7_gapdb, 5_gapdb):	1	-	1	=	0
	(7_gapdb, 6_gapdb):	1	-	1	=	0
