	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 100 probes.

floortile-opt11-strips

opt-p02-003.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
20		1			1
21		2			2
22		4			4
23		9			8.77
24		24			27.31
25		58			64.55
26		172			150.23
27		481			484.22
28		1719			1353.37
29		5152			5764.22
30		20038			11201.9
31		61347			32033.4
32		248979			160805
33		769300			358458
34		3.20198e+06			1.63058e+06
35		9.94192e+06			4.55338e+06
36		4.21998e+07			1.41295e+07
37		1.31426e+08			4.68034e+07
38		5.67065e+08			3.95878e+09
39		1.7693e+09			5.31597e+08
40		7.74178e+09			1.6747e+09

opt-p01-001.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
20		32			31.76
21		256			245.52
22		2128			2030.44
23		9012			10429.2
24		59582			65262.6
25		202745			180559
26		1.20934e+06			1.55746e+06
27		3.72027e+06			3.39885e+06
28		2.10944e+07			2.03339e+07
29		6.15286e+07			4.05135e+07
30		3.38538e+08			1.74536e+08
31		9.57198e+08			5.02181e+08
32		5.16522e+09			6.17549e+09
33		1.43314e+10			5.33581e+09

opt-p01-002.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
23		1003			1070.16
24		15513			18254.8
25		181935			199598
26		823372			735179
27		8.5931e+06			8.09781e+06
28		2.97322e+07			3.16893e+07
29		2.65183e+08			5.34391e+08
30		8.16401e+08			7.77053e+08
31		6.48904e+09			1.31474e+10
32		1.88254e+10			2.44316e+10

opt-p02-004.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
23		42			41.58
24		352			344.24
25		4067			4286.49
26		19602			20495
27		188187			169747
28		700154			679504
29		5.89709e+06			6.66157e+06
30		1.92516e+07			1.5883e+07
31		1.47404e+08			1.16471e+08
32		4.48767e+08			2.86031e+08
33		3.19207e+09			1.73626e+09
34		9.36604e+09			4.60973e+09

opt-p03-005.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
31		2007			1942.16
32		29205			28846.3
33		469701			358742
34		2.52687e+06			2.6432e+06
35		3.71615e+07			2.99645e+07
36		1.69714e+08			2.11758e+08
37		2.03137e+09			1.75319e+09
38		9.33236e+09			1.15349e+10
