	Experiment 1:		Using ipdb heuristic - 5000 probes in 24 hours.

Domain                             ida*      ida* time       ss error        ss time              n

blocks                      3.52068e+08        2275.91    1.97802e+06        1.22825             35
barman-opt11-strips         1.22057e+09        16261.3      0.0216462        13.2067              5
elevators-opt08-strips      6.13451e+06        4097.06      0.0856656        1545.86             30
elevators-opt11-strips      7.60507e+06        4767.04      0.0939525        1648.36             20
floortile-opt11-strips      1.28649e+09        14016.5      0.0514258        20.1569              5
nomystery-opt11-strips      1.99846e+08        1593.92       0.084985         2.8967             20
openstacks-opt08-adl                ---            ---            ---            ---            ---
openstacks-opt08-strips          271698        2680.84      0.0416646        5988.27             30
openstacks-opt11-strips          377417        3989.58      0.0448848        4032.11             20
parcprinter-opt11-strips    5.71829e+06        4405.97    1.04064e+21        533.722             16
parking-opt11-strips        4.61683e+07        1621.43      0.0136315        34.1514             20
pegsol-opt11-strips             28918.6        621.831        1.98464        174.446             20
scanalyzer-opt11-strips     2.44702e+08        3087.54     0.00614219        17.8731             13
sokoban-opt08-strips        1.07432e+08        3404.77      0.0360124         60.221             30
sokoban-opt11-strips         1.2388e+08        3760.76      0.0413151         52.356             20
tidybot-opt11-strips         1.0631e+07        3865.04       0.013682        352.864             20
transport-opt08-strips      1.43354e+08        2844.89       0.064833        8.25273             30
transport-opt11-strips      3.96738e+08        3084.49      0.0619989        4.35541             20
visitall-opt11-strips       2.34862e+08        1095.69      0.0196858        4.45714             15
woodworking-opt08-strips    8.00169e+06        4505.86      0.0167815        1139.19             30
woodworking-opt11-strips    1.14858e+07        2574.03      0.0137692        243.615             20
