	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 1000 probes.

tidybot-opt11-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
19		70239			69901.2
20		184550			199467
21		513033			558013
22		1.36898e+06			1.39627e+06
23		3.89587e+06			4.14113e+06
24		1.06921e+07			1.14082e+07
25		3.15501e+07			3.09378e+07
26		9.009e+07			1.04232e+08
27		2.77555e+08			3.64451e+08

p16.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		1			1
7		3			3
8		9			9
9		21			21
10		59			59.027
11		148			150.049
12		442			445.525
13		1229			1262.37
14		3846			3980.23
15		11447			11592.1
16		36657			38592.8
17		113008			116884
18		366810			369713
19		1.15143e+06			1.13324e+06
20		3.78373e+06			3.78579e+06
21		1.20098e+07			1.32194e+07
22		4.00018e+07			4.18409e+07

p11.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		2			2
9		8			8
10		31			31
11		90			89.898
12		309			309.376
13		877			882.355
14		2976			3004.35
15		8595			8604.04
16		29160			29700.3
17		86162			86020.6
18		292293			293741
19		884067			929866
20		3.00258e+06			3.00339e+06
21		9.30537e+06			9.23527e+06
22		3.17225e+07			3.34948e+07
23		1.00886e+08			1.05079e+08

p02.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		2			2
10		8			8
11		23			23
12		62			62.03
13		180			180.769
14		473			476.275
15		1342			1336.64
16		3512			3543.16
17		9720			9684.82
18		25324			25451.1
19		68967			69240.6
20		178873			175278
21		482443			473079
22		1.24626e+06			1.29013e+06
23		3.34087e+06			3.45123e+06
24		8.60125e+06			8.47623e+06
25		2.29599e+07			2.44242e+07
26		5.89515e+07			6.07156e+07
27		1.56851e+08			1.72461e+08
28		4.01916e+08			4.0277e+08
