	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 1000 probes.

elevators-opt11-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		1			1
12		35			35
13		257			257
17		3426			3419.81
18		6357			6250.61
19		17367			16468
20		80185			61570.9
21		80811			61406.4
22		1.82683e+06			1.74446e+06
23		2.71953e+06			1.66157e+06
24		7.61989e+06			3.2831e+06
25		1.24578e+07			5.34431e+06
26		2.08719e+07			8.2259e+06

p19.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
43		4			4
47		32			32
48		1042			1010.22
50		46995			46379.4
51		49025			51317.1
52		1.35551e+06			1.36048e+06
53		3.69454e+07			3.50264e+07
54		3.69487e+07			3.16057e+07
55		3.94449e+07			3.48521e+07
56		3.97297e+07			3.04295e+07

p18.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
29		1			1
34		10			10
35		96			97.16
36		123			124.696
37		200			201.184
38		266			259.156
39		293			301.288
40		1708			1678.56
41		23348			24074.4
42		43857			46268.5
43		86903			79663.8
44		453795			437103
45		504536			447590
46		3.45045e+06			2.39136e+06
47		1.16266e+07			6.46282e+06

p15.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
28		1			1
33		10			10
35		38			37.955
37		134			134.409
38		170			165.776
39		173			173.301
40		2116			2079.7
41		2497			2406.48
42		12143			13527.9
43		21661			20199.2
44		59473			58717.6
45		153912			142474
46		209768			196644
47		3.50073e+06			1.11769e+06
48		6.03508e+06			2.97405e+06
49		2.17797e+07			1.3889e+07
50		3.65862e+07			2.29382e+07

p12.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
25		1			1
30		10			10
31		424			422.104
32		478			480.548
34		56515			56440.8
36		136147			133368
37		1.93261e+07			1.85258e+07
38		3.77785e+07			5.47785e+07

p13.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
29		1			1
34		779			786.812
35		1253			1255.61
36		1297			1298.24
37		1341			1349.66
38		2345			2323.49
39		86861			86786.5
40		176036			162622
41		1.50599e+06			1.31169e+06

p07.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
27		49			49
32		1.77144e+06			1.63034e+06
34		9.63724e+06			9.01173e+06
35		9.76636e+06			8.92729e+06

p05.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
32		1477			1476.57
37		277242			246031
38		937148			827962
39		9.40345e+06			7.70469e+06
40		9.45179e+06			8.17308e+06
41		1.0125e+07			7.59488e+06
42		2.29643e+07			1.98921e+07
43		8.69942e+07			6.34238e+07

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
39		2			2
41		3			3
44		659			666.496
45		660			667.496
46		671			664.036
47		691			693.224
48		697			700.91
49		39305			36766.7
50		53547			64238.9
51		89556			72401.4
52		105799			103507
53		147355			160240
54		1.16584e+06			870075
55		2.20403e+06			1.74648e+06
56		7.35599e+06			1.17846e+07

p10.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
26		1			1
31		7			7
33		67			66.68
35		79			78.12
36		118			116.985
37		181			172.402
38		3565			3679.01
39		3586			3748.01
40		397153			428556
41		397813			405670
42		412783			300148
43		833229			506330
44		5.7959e+06			5.08468e+06
45		2.76111e+07			1.573e+07
46		2.81213e+07			3.07183e+07

p04.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
29		1			1
31		5			5
34		27			27
35		53			53
36		84			83.904
37		168			165.994
38		259			261.355
39		304			301.885
40		645			638.714
41		1971			1955.47
42		6578			6301.08
43		10472			10158.4
44		17881			16545
45		33504			29859.1
46		59676			53950.6
47		195526			179497
48		330334			236220
49		1.03647e+06			824116
50		8.25941e+06			6.59661e+06
51		9.45861e+06			6.50829e+06
52		3.85191e+07			1.84334e+07
53		9.60582e+07			7.12202e+07
54		1.44418e+08			5.53802e+07

p06.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
21		1626			1626
26		716259			611869
28		3.78832e+06			3.34549e+06
30		4.92764e+06			2.12435e+06

p17.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
35		1			1
40		305			313.448
41		343			358.792
43		802			822.256
45		10722			10664.7
46		90040			94135.6
47		170559			164501
48		260880			257115
49		370866			329174
50		1.64444e+06			1.28029e+06

p20.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
19		298			298
24		3124			3126.78
25		76375			64515.4
26		411712			282537
27		488995			280197
28		767984			384599
29		790448			432487
30		1.53967e+06			1.26619e+06
31		4.24962e+07			1.34156e+07

p03.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
27		2			2
29		3			3
32		13			13
33		17			17.096
34		30			30.44
35		37			36.996
36		41			41.004
37		155			157.032
38		199			195.012
39		600			595.408
40		851			847.287
41		1274			1264.99
42		3533			3348.27
43		5046			4904.76
44		19077			14181.3
45		27301			26223.2
46		89272			80233.2
47		183196			71603.8
48		759179			1.09583e+06
49		2.6807e+06			2.46638e+06
50		3.48761e+06			2.86006e+06
51		8.18974e+06			2.96453e+06
52		1.41758e+07			3.82802e+06
53		5.78546e+07			5.13023e+07
54		2.09614e+08			8.54536e+07

p09.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
12		64			64
18		7660			7597.5
19		22734			16671.3
20		31579			28239.6
21		39070			33004.2
22		41730			39649.4
23		42374			32306.3
24		751704			626656
25		3.94458e+06			2.25355e+06
26		9.27924e+06			4.23702e+06
27		1.47034e+07			6.01277e+06
28		1.80949e+07			1.11457e+07
29		2.0518e+07			1.46513e+07
30		9.21097e+07			6.07845e+07

p08.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
28		1			1
32		38			38
33		536			535.928
34		75697			75591.4
35		75722			75865.1
37		78960			79741.9
38		220922			201486
39		4.5577e+06			5.83106e+06
40		1.89151e+07			2.11586e+07

p16.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
30		1			1
35		3			3
36		4			4
37		8			8.029
38		9			9.089
39		13			12.992
40		24			23.9
41		33			32.944
42		84			83.052
43		102			102.382
44		235			235.296
45		284			281.132
46		596			605.309
47		1102			1132.51
48		1702			1722.8
49		5989			5569.4
50		7208			7340.65
51		23504			23809.6
52		29761			28790.5
53		57090			50067.6
54		124633			106654
55		173530			161784
56		1.09893e+06			720651
57		1.25826e+06			1.09483e+06
58		4.80197e+06			4.78395e+06
59		6.12116e+06			3.92876e+06
60		1.12915e+07			6.68797e+06
61		9.79147e+07			4.86637e+07

p11.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
22		1			1
27		508			507.472
28		1775			1794.62
29		6246			6313.93
30		17581			17937.5
31		18494			16934.4
32		40099			41298.2
33		4.55823e+06			4.54646e+06
34		9.46695e+06			8.3081e+06
35		2.0016e+07			1.53358e+07

p02.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
30		247			245.116
32		22576			22701
36		32063			30842
37		708724			737322
38		4.04953e+06			3.32734e+06
39		1.71392e+08			1.40121e+08
40		1.73363e+08			1.72939e+08
