	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 1000 probes.

blocks

probBLOCKS-15-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
15		29			28.348
16		154			147.804
17		198			186.888
18		1948			2468.76
19		2448			2844.29
20		32649			29309.3

probBLOCKS-14-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
22		3			3
24		29			29.092
26		295			301.174
27		305			311.224
28		3807			3610.82
29		4067			4625.71
30		72380			74810.9
31		79198			84712.6
32		2.18189e+06			1.64573e+06
33		2.41801e+06			1.27293e+06
34		8.90774e+07			2.78539e+07
35		9.94127e+07			3.16274e+07
36		4.09385e+09			3.17604e+10
37		4.59419e+09			6.3778e+08

probBLOCKS-10-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
18		5			4.904
20		38			37.392
22		327			329.516
24		3502			3640.36
25		3505			3631.56
26		46122			49111.7
27		46493			52412
28		770552			529642
29		796776			619766
30		1.70839e+07			9.7379e+06
31		1.8525e+07			1.45595e+07
32		4.87578e+08			3.19356e+08
33		5.56401e+08			3.52373e+08
34		1.62797e+10			1.14413e+10

probBLOCKS-4-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		7			7

probBLOCKS-7-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
12		1			1
13		2			2
14		5			5.032
15		7			7.002
16		21			21.52
17		27			26.842
18		133			132.882
19		160			147.618
20		1753			1506.28

probBLOCKS-16-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
30		3			3
31		4			4
32		50			50.176
33		62			62.56
34		801			823.756
35		971			987.892
36		14231			14762.3
37		16983			17596.9
38		315635			283748
39		371353			335482
40		1.11229e+07			6.80849e+06
41		1.28852e+07			7.95053e+06
42		6.78888e+08			1.75029e+08
43		7.71909e+08			2.05569e+08

probBLOCKS-10-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
18		3			3
20		18			17.728
22		119			117.828
23		120			120.844
24		1149			1052.73
25		1212			1129.62
26		16896			25431.6
27		19211			44809.7
28		362011			200896
29		437903			253399
30		1.04763e+07			1.48414e+07
31		1.30125e+07			9.75063e+06
32		3.64288e+08			1.42984e+08
33		4.52207e+08			8.51385e+07
34		1.37079e+10			1.87562e+09

probBLOCKS-14-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
26		9			9
27		10			10.256
28		460			405.424
29		498			477.118
30		27864			31107.9
31		29972			33607.2
32		2.21613e+06			2.02542e+06
33		2.38745e+06			1.31495e+06
34		2.16682e+08			1.19977e+08
35		2.34922e+08			1.40438e+08

probBLOCKS-6-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		65			62.648

probBLOCKS-11-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
20		23			22.876
21		28			27.956
22		1315			1231.24
23		1618			1652.39
24		69606			68397
25		86557			84274.9
26		3.51914e+06			3.00996e+06
27		4.40907e+06			4.76214e+06
28		1.72089e+08			2.02651e+08
29		2.15908e+08			2.58052e+08
30		8.24758e+09			8.27482e+09

probBLOCKS-10-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
18		3			3
20		28			27.96
22		281			279.198
24		3574			3477.58
26		59308			82956.6
27		59573			71802.4
28		1.24711e+06			1.14839e+06
29		1.27009e+06			1.37192e+06
30		3.26303e+07			8.45561e+07
31		3.40564e+07			2.43258e+07
32		1.06758e+09			7.13071e+08

probBLOCKS-9-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		3			3
16		18			17.886
18		118			121.984
20		989			973.422
22		10038			10178.6
24		115684			142834
26		1.4694e+06			1.30231e+06
27		1.47066e+06			1.88382e+06
28		2.07445e+07			1.52611e+07
29		2.08679e+07			1.52661e+07
30		3.40274e+08			6.93502e+08

probBLOCKS-9-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		1			1
16		3			3
18		9			9.055
20		34			34.459
22		183			181.918
24		1352			1372.27
25		1377			1439.75
26		13278			12661.5
27		14012			13364.5
28		179863			138243
