	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 1000 probes.

transport-opt11-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
74		2			2
75		7			7
76		19			19.062
77		47			47.111
78		111			111.133
79		255			254.767
80		575			572.496
81		1279			1279.71
82		2815			2806.06
83		6143			6137.64
84		13311			13050.6
85		28671			28101.2
86		61439			59900.2
87		131074			122380
88		278546			285894
89		589913			592366
90		1.24553e+06			1.05641e+06
91		2.62269e+06			2.61187e+06
92		5.50925e+06			6.51515e+06
93		1.15483e+07			6.1717e+06

p19.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
255		2			0
277		5			0
278		9			0
279		14			0
280		22			0
281		36			0
282		51			0
283		69			0
284		90			0
285		113			0
286		140			0
287		169			0
288		202			0
289		237			0
290		276			0
291		319			0
292		366			0
293		416			0
294		471			0
295		534			0
296		603			0
297		683			0
298		770			0
299		875			0
300		989			0
301		1129			0
302		1288			0
303		1498			0
304		1761			0
305		2137			0
306		2701			0
307		3675			0
308		5440			0
309		8913			0
310		15940			0
311		30602			0
312		61434			0
313		126765			0
314		265197			0
315		558506			0
316		1.17866e+06			0
317		2.48729e+06			0
318		5.24208e+06			0
319		1.10284e+07			0
320		2.31559e+07			0
321		4.85226e+07			0

p18.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
237		2			0
250		5			0
258		7			0
260		9			0
263		13			0
265		15			0
271		20			0
273		25			0
275		28			0
276		33			0
278		40			0
283		42			0
284		51			0
285		52			0
286		70			0
287		73			0
288		74			0
289		88			0
290		89			0
291		106			0
292		109			0
293		110			0
294		113			0
295		114			0
296		127			0
297		142			0
298		151			0
299		172			0
300		185			0
301		197			0
302		219			0
303		235			0
304		277			0
305		297			0
306		312			0
307		355			0
308		371			0
309		424			0
310		475			0
311		506			0
312		604			0
313		663			0
314		743			0
315		831			0
316		899			0
317		1057			0
318		1171			0
319		1289			0
320		1445			0
321		1602			0
322		1829			0
323		2060			0
324		2327			0
325		2696			0
326		3045			0
327		3421			0
328		3906			0
329		4473			0
330		5211			0
331		5982			0
332		6935			0
333		8121			0
334		9472			0
335		11291			0
336		13558			0
337		16525			0
338		21056			0
339		27913			0
340		39550			0
341		60936			0
342		101221			0
343		181953			0
344		342354			0
345		672613			0
346		1.34226e+06			0
347		2.733e+06			2.95057e+06
348		5.56647e+06			0
349		1.14589e+07			0
350		2.3474e+07			0
351		4.84345e+07			0

p15.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
262		1			1
270		2			2
287		3			3
288		4			4
289		5			5
290		6			6
291		7			7
292		9			9
293		11			11
294		14			14
295		18			17.968
296		23			22.936
297		29			28.836
298		36			35.888
299		44			44.016
300		54			53.818
301		65			64.836
302		79			79.036
303		94			94.798
304		113			112.463
305		133			131.046
306		158			155.468
307		184			181.505
308		216			218.036
309		249			246.768
310		289			281.149
311		330			326.389
312		379			378.331
313		429			429.385
314		489			475.668
315		550			529.1
316		621			581.32
317		694			657.474
318		779			826.506
319		867			893.256
320		968			835.74
321		1073			1091.49
322		1194			1179.48
323		1321			1018.57
324		1467			1694.51
325		1622			1541.92
326		1802			2741.08
327		1996			1910.71
328		2221			1655.06
329		2468			1118.98
330		2758			1873.5
331		3078			1016.12
332		3460			6283.57
333		3883			3240.91
334		4403			1622.98
335		4980			1601.38
336		5716			0
337		6544			4614.33
338		7661			3950.49
339		8978			3305.8
340		10916			5427.89
341		13451			6382.27
342		17622			11271.3
343		23943			13673.1
344		35427			22543.5
345		55234			42248.4
346		93354			79278.3
347		164419			135977
348		304610			292664
349		576130			518568
350		1.11663e+06			1.34865e+06
351		2.18181e+06			2.31015e+06
352		4.30881e+06			4.15662e+06
353		8.53363e+06			7.6782e+06
354		1.69787e+07			1.67725e+07
355		3.38137e+07			3.26917e+07

p12.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
218		1			1
252		2			2
