	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 1000 probes.

transport-opt08-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
237		2			2
250		5			5
258		7			7
260		9			9
263		13			13.16
265		15			15.048
271		20			20.024
273		25			25
275		28			27.978
276		33			33.22
278		40			39.688
283		42			42.242
284		51			50.914
285		52			52.714
286		70			69.234
287		73			74.192
288		74			72.305
289		88			87.218
290		89			88.575
291		106			108.914
292		109			107.809
293		110			110.402
294		113			114.817
295		114			112.605
296		127			128.076
297		142			142.479
298		151			150.803
299		172			178.392
300		185			188.74
301		197			203.308
302		219			229.379
303		235			240.525
304		277			276.966
305		297			289.942
306		312			311.385
307		355			351.067
308		371			593.511
309		424			458.812
310		475			438.944
311		506			482.008
312		604			566.594
313		663			627.547
314		743			732.274
315		831			748.13
316		899			881.307
317		1057			1040.61
318		1171			1055.66
319		1289			1133.96
320		1445			1300.28
321		1602			1315.15
322		1829			1498.18
323		2060			3973.01
324		2327			1629.1
325		2696			1982.99
326		3045			2339.95
327		3421			2749.2
328		3906			4247.64
329		4473			3220.67
330		5211			2970.55
331		5982			4264.5
332		6935			4634.39
333		8121			5114.01
334		9472			7040.31
335		11291			5691.18
336		13558			12130.1
337		16525			8141.07
338		21056			8572.61
339		27913			21160
340		39550			28684.3
341		60936			31682.4
342		101221			86130.7
343		181953			360869
344		342354			307501
345		672613			1.25586e+06
346		1.34226e+06			2.68646e+06

p19.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
267		2			----zero_info----
272		4			----zero_info----
279		7			----zero_info----
281		10			----zero_info----
283		16			----zero_info----
284		21			----zero_info----
286		26			----zero_info----
287		28			----zero_info----
288		41			----zero_info----
290		44			----zero_info----
291		48			----zero_info----
293		57			----zero_info----
294		61			----zero_info----
295		91			93.908
296		118			----zero_info----
297		128			----zero_info----
298		150			----zero_info----
299		182			187.623
300		243			256.964
301		286			300.53
302		316			334.025
303		347			343.484
304		420			435.664
305		454			460.627
306		466			450.966
307		516			497.047
308		567			527.593
309		641			646.229
310		817			886.695
311		979			1012.22
312		1210			1249.31
313		1394			1461.22
314		1611			1610.39
315		2050			2131
316		2530			2516.75
317		2953			2779.74
318		3294			3472.68
319		3697			3604.31
320		4208			4535.29
321		4525			4501.4
322		4982			5094.85
323		5548			5674.35
324		6540			6296.34
325		7538			7912.98
326		8586			8210.93
327		10151			9907.85
328		12224			13043.1
329		14526			14522.4
330		17167			17320.9
331		20121			20574.1
332		24466			25146.2
333		28114			29604.6
334		32427			27935.8
335		36397			39385.3

p18.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
282		3			3
284		5			----zero_info----
285		10			10
286		19			19
287		21			21
292		25			25.026
294		31			----zero_info----
295		33			----zero_info----
296		41			----zero_info----
297		44			----zero_info----
298		53			----zero_info----
299		62			----zero_info----
300		77			----zero_info----
301		82			----zero_info----
302		124			----zero_info----
303		153			----zero_info----
304		187			----zero_info----
305		212			----zero_info----
306		228			----zero_info----
307		246			----zero_info----
308		290			----zero_info----
309		346			333.576
310		437			439.614
311		496			491.508
312		572			586.932
313		619			626.444
314		737			736.885
315		850			----zero_info----
316		977			----zero_info----
317		1087			1091.96
318		1348			1336.44
319		1585			----zero_info----
320		1945			----zero_info----
321		2247			----zero_info----
322		2542			----zero_info----
323		2913			----zero_info----
324		3370			----zero_info----
325		3845			----zero_info----
326		4581			4434.5
327		5294			5443.76
328		6039			6545.43
329		6691			6447.67
330		7803			8037.35
331		9083			9188.54
332		10693			10738.6
333		12468			12346.1
334		14350			14454.8
335		16275			15985.6
336		19138			----zero_info----
337		22478			22257.1
338		26540			25751.2
339		30663			28960.1
340		34949			----zero_info----
341		40168			----zero_info----
342		46774			----zero_info----

p15.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
297		4			4
300		9			9
303		11			11
305		13			13
306		17			17
314		19			19
315		21			21
320		24			24
321		26			26
322		42			42.3
323		44			43.66
325		75			74.88
326		80			80.412
327		82			81.97
328		104			103.17
329		110			109.725
330		121			118.976
331		151			150.237
332		155			153.905
333		163			162.73
334		175			169.783
335		179			182.442
336		185			185.682
337		188			187.931
338		195			190.772
339		221			223.686
340		238			234.768
341		242			241.39
342		257			257.322
343		262			256.936
344		269			274.423
345		309			304.886
346		368			370.208
347		458			459.704
348		558			552.121
349		776			786.002
350		1182			1180.18
351		1829			1799.85
352		3174			3405.49
353		6018			6382.24
354		11954			11808.4
355		24281			27348
356		50372			46927.9
357		104380			97025.3
358		218606			200330
359		455363			422572
360		953753			949134
361		1.98389e+06			1.94754e+06

p25.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
255		2			2
277		5			5
278		9			9
279		14			14
280		22			22.129
281		36			35.757
282		51			48.775
283		69			67.427
284		90			90.883
285		113			112.804
286		140			137.875
287		169			162.563
288		202			199.315
289		237			232.752
290		276			270.935
291		319			320.056
292		366			367.474
293		416			411.788
294		471			456.022
295		534			526.873
296		603			596.511
297		683			658.715
298		770			789.317
299		875			847.319
300		989			989.455
301		1129			1281.89
302		1288			1238.62
303		1498			1547.11
304		1761			1535.94
305		2137			1925.06
306		2701			2663.77
307		3675			2515.23
308		5440			6849.3
309		8913			8926.56
310		15940			14591.5
311		30602			27200
312		61434			54356.8
313		126765			116512

p12.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
266		3			3
297		7			7
305		9			9
312		13			13
313		17			17
320		19			19
321		21			21
322		23			23
323		25			25
324		27			27
325		29			29
326		35			35
327		37			37
328		45			44.696
329		47			47.096
330		55			54.928
331		61			61.096
332		63			62.504
333		65			65.152
334		67			66.824
335		69			69.008
336		81			80.664
337		83			83.22
338		85			84.768
339		87			87.324
340		95			94.976
341		105			104.816
342		107			106.944
343		113			113.136
344		133			133.112
345		143			142.752
346		149			149.076
347		159			157.804
348		161			161.592
349		163			164.148
350		165			164.508
351		177			178.512
352		181			178.044
353		185			182.1
354		189			188.116
355		193			190.248
356		197			193.024
357		209			204.28
358		223			218.084
359		269			265.518
360		297			300.282
361		331			334.888
362		359			351.812
363		379			376.632
364		411			405.662
365		447			452.34
366		475			468.608
367		521			525.18
368		561			563.444
369		605			608.772
370		667			640.148
371		745			682.104
372		813			954.82
373		881			954.116
374		991			1190.38
375		1121			863.58
376		1263			966.628
377		1347			1002.38
378		1465			3615.17
379		1561			1336.15
