	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 1000 probes.

woodworking-opt08-strips

p22.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
60		1			1
70		3			3
80		11			10.872
90		19			19
95		35			35.096
100		77			77.208
105		101			100.72
110		241			230.316
115		365			381.34
120		675			696.384
125		1263			1271.57
130		2395			2482.95
135		3919			3788.12
140		8517			8595.79
145		14709			14351.3
150		27171			26174.5
155		56235			53372.6
160		105033			119108
165		188407			185944
170		404575			360232
175		782265			772648
180		1.42494e+06			1.17605e+06
185		3.21408e+06			2.83124e+06

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
80		2			2
90		9			9.012
95		18			17.904
100		50			50.595
105		120			122.654
110		303			325.715
115		725			732.447
120		1721			1621.26
125		4191			4254.91
130		9594			10291.5
135		23038			22828.7
140		53993			53868.8
145		124910			124819
150		289302			264824
155		675581			618147
160		1.55208e+06			1.43156e+06
165		3.55652e+06			3.79693e+06
170		8.19611e+06			1.01149e+07

p21.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
40		1			1
60		2			2
65		3			3
70		7			7
75		12			11.98
80		30			30.06
85		56			55.306
90		141			139.987
95		468			452.95

p11.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
50		1			1
60		3			3
70		6			6
75		7			7
80		20			19.851
85		26			25.753
90		81			83.291
95		109			108.501
100		264			261.938
105		416			396.195
110		1046			1021.11
115		1812			1744.35
120		4511			4474.85
125		8855			8037.1
130		20201			19008.2
