	Report:		ida*-bfs-vs-ss-bfs - using lmcut heuristic - 1000 probes.

elevators-opt08-strips

p12.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
30		1			1
35		4			4
36		5			5
37		7			7
39		9			9.116
40		24			23.471
41		39			39.022
42		63			64.426
43		72			71.174
44		142			141.578
45		237			244.545
46		351			343.947
47		715			673.216
48		1322			1419.13
49		2793			3210.01
50		4289			4508.5
51		7543			7380.73
52		13977			13181
53		40581			36378.8
54		315850			295047

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
25		1			1
26		4			4
27		7			7
31		10			10
32		22			22
33		94			90.35
34		134			132.458
35		300			294.277
36		1106			1085.29
37		1395			1392.14
38		2336			2404.8
39		3365			3234.13
40		8311			8370.28
41		25877			24933.9
42		46072			44161

p11.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
39		2			2
41		4			4
42		6			6
43		18			18.024
44		28			28
45		35			34.867
46		65			64.942
47		94			93.833
48		193			193.405
49		268			267.905
50		588			577.69
51		1054			1036.29
52		2250			2197.19
53		3731			3696.53
54		6159			5939.4
55		13525			12105.1
56		25172			24466.8

p02.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
20		1			1
24		39			39
26		27378			27369.7
