	Experiment 1:		Using lmcut heuristic - 10 probes in 24 hours.

Domain                             ida*      ida* time       ss error        ss time              n

blocks                      1.78478e+06        2557.44       0.235132       0.560471             35
barman-opt11-strips         5.43647e+06        13806.9       0.171223        1.77586              9
elevators-opt08-strips           136685         5258.5       0.237891          303.1             29
elevators-opt11-strips           165561        5464.71       0.214313        277.491             20
floortile-opt11-strips      2.32063e+06        4810.61       0.423134         12.459             20
nomystery-opt11-strips           237311        2925.83       0.472019        11.5265             20
openstacks-opt08-adl                ---            ---            ---            ---            ---
openstacks-opt08-strips         79281.1        2714.82      0.0441778        121.567             30
openstacks-opt11-strips         67784.2        3128.87      0.0256649        128.433             20
parcprinter-opt11-strips        51709.6        260.948       0.173312       0.503529             15
parking-opt11-strips            95795.1        6140.15       0.243146        188.239             20
pegsol-opt11-strips              411225        229.207       0.221896       0.426545             20
scanalyzer-opt11-strips     1.35858e+06        4309.72       0.103017        49.3041             13
sokoban-opt08-strips        1.64941e+06         5596.1       0.147008        30.1633             30
sokoban-opt11-strips        1.65964e+06        2770.13       0.104065        27.2554             20
tidybot-opt11-strips             161678        6581.47       0.339255        128.767             20
transport-opt08-strips           406300        7065.47        0.13871        151.449             28
transport-opt11-strips           153903        4302.67       0.150933        75.6508             19
visitall-opt11-strips        6.0264e+06        3820.53       0.196021        2.01942             18
woodworking-opt08-strips         675983         3796.5       0.199171        45.9069             27
woodworking-opt11-strips         875147        3350.72        0.20189        33.6157             18
