	Report:		ida*-bfs-vs-ss-bfs - using lmcut heuristic - 10 probes.

floortile-opt11-strips

opt-p01-001.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
28		6			6
29		28			26.6
30		231			205.1
31		917			671.6
32		5258			4601.7
33		20682			18534.4
34		105783			91323.7
35		416177			271835
36		1.96012e+06			1.6406e+06
37		7.77007e+06			8.51848e+06
38		3.61606e+07			1.79427e+07

opt-p01-002.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
24		1			1
25		31			24.6
26		118			56.8
27		591			853.2
28		2214			1980.3
29		9456			10746.7
30		37208			20955.8
31		150454			82840
32		654579			1.37963e+06
33		3.53239e+06			7.20174e+06
