	Report:		ida*-bfs-vs-ss-bfs - using lmcut heuristic - 10 probes.

transport-opt08-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
337		3			3
348		6			6
349		7			7
353		9			9
357		11			11
358		13			13
363		16			16
364		19			18.3
367		23			22.6
369		25			24.9
371		29			29.5
374		36			35.6
375		39			38.3
376		41			40.9
377		42			42.1
378		46			45.6
379		54			53.5
382		55			55.2
383		65			64.6
384		71			72.4
386		72			70.6
387		74			78
388		81			80
389		89			84
390		111			125.4
391		112			102
392		113			102
393		124			108.1
394		129			130.8
395		169			161.1
396		172			159.5
397		186			191.8
398		196			188.9
399		202			196.3
400		226			237.7
401		235			234
402		261			291.5
403		271			280.8
404		287			346.3
405		302			294.5
406		305			264.1
407		332			344.7
408		347			354.2
409		396			432.9
410		423			541.1
411		424			432.9
412		457			420.7
413		502			427.9
414		518			490.5
415		547			603.3
416		598			501.5
417		651			611.2
418		682			615.6
419		733			709.6
420		766			693.3
421		909			1133
422		944			1036.7
423		1005			867.8
424		1122			1048.1
425		1171			1079.4
426		1248			1225.1
427		1301			1278.7
428		1416			1375.2
429		1565			2387.5
430		1659			1577.8
431		1738			1839.9
432		1783			1762.4
433		1891			1538.1
434		2036			1709.6
435		2212			1660.2
436		2441			2498.7
437		2517			3019.4
438		2686			3753
439		2935			3140.5
440		3057			2991.7
441		3333			3359.3
442		3530			3465.9
443		3819			5811
444		3998			6146.3
445		4231			5113.2
446		4600			5491.9
447		5152			3602.5
448		5390			5238.4
449		5741			6211.5
450		6285			9816.4
451		6660			8933.8
452		7066			5978
453		7477			7924.2
454		8082			6825.6
455		8939			8666.7
456		9454			12658.8
457		9963			5000.3
458		10563			6586
459		11201			7631.6
460		11928			10910.9
461		12604			6782.1
462		13761			16672.1
463		14640			11791.2
464		15531			13523.5
465		16770			13098.7
466		17492			26038
467		19277			23309.1
468		20550			18013
469		22074			27573.5
470		23628			34421.3
471		24858			21660.7
472		26717			62486.6
473		29274			51686.3
474		31053			28984.8
475		33345			21024.2
476		35888			29439.1
477		37950			18589.9
478		40223			36060.5
479		42763			30428.8
480		46182			49599.7
481		50368			28459.6
482		53472			50336.5
483		56568			61856.7
484		60427			45714.7
485		64618			39758.1
486		68339			62080.2
487		72529			141734
488		78171			45548.6
489		84210			156205
490		132022			104984
491		181432			153574
492		414261			471824
493		736390			521387

p19.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
379		6			6
380		7			7
381		8			8
382		12			12
383		13			13
384		16			16
386		17			17
389		19			18.8
390		24			23.6
391		32			31.2
392		41			40.8
393		43			43.1
394		45			43.9
395		49			48.8
396		51			51.8
397		61			60.8
398		84			89.8
399		93			93.6
400		95			92.2
401		103			107.2
402		114			114
403		152			166.8
404		195			204
405		219			----zero_info----
406		269			----zero_info----
407		325			----zero_info----
408		382			----zero_info----
409		466			----zero_info----
410		514			----zero_info----
411		604			----zero_info----
412		708			----zero_info----
413		796			----zero_info----
414		938			----zero_info----
415		1038			----zero_info----
416		1236			----zero_info----
417		1381			----zero_info----
418		1578			----zero_info----
419		1839			----zero_info----
420		1967			----zero_info----
421		2244			----zero_info----
422		2523			----zero_info----
423		3069			----zero_info----
424		3650			----zero_info----
425		4097			----zero_info----
