	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 100 probes.

nomystery-opt11-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		1			1
5		5			5
6		19			19.08
7		80			79.2
8		318			329.88
9		1292			1354.32
10		5090			4690.2
11		19952			19325.9
12		77430			81069.6
13		301278			335015
14		1.1782e+06			1.85879e+06
15		4.65789e+06			2.75918e+06
16		1.8648e+07			1.38603e+07
17		7.57934e+07			6.72787e+07
18		3.12838e+08			2.75802e+08

p19.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
5		2			2
6		6			6
7		29			29.02
8		114			111.94
9		569			556.03
10		2681			2800.05
11		13956			13629.6
12		72459			70284.6
13		395141			417769
14		2.17889e+06			2.09248e+06
15		1.23268e+07			1.15346e+07

p18.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
5		1			1
6		5			5
7		13			12.48
8		62			58.8
9		233			254.66
10		1116			1125.3
11		5050			5225.2
12		25122			23917.9
13		124825			114827
14		643239			658886
15		3.33449e+06			3.5988e+06
16		1.75004e+07			1.84199e+07
17		9.22495e+07			6.13447e+07

p15.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		1			1
5		3			3
6		15			14.96
7		54			53.88
8		229			233.4
9		954			989.46
10		4179			4309.74
11		18139			16746.7
12		80015			73030.4
13		358226			346591
14		1.62867e+06			1.77307e+06
15		7.5308e+06			6.21398e+06
16		3.53041e+07			6.08502e+07
17		1.67843e+08			1.81536e+08

p12.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		3			3
5		8			8
6		33			32.86
7		110			109.43
8		344			354.17
9		1035			1026.79
10		2990			3205.49
11		8603			8925.71
12		24661			25250.4
13		71921			51759.6
14		215522			236901

p13.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		2			2
5		9			8.88
6		37			35.9
7		135			134.98
8		475			468.42
9		1654			1404.83
10		5691			5869.95
11		19689			24289.8
12		68405			85701.1
13		241046			131916
14		860811			744006
15		3.13474e+06			5.53275e+06

p07.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
5		2			2
6		5			5
7		24			23.85
8		106			105.05
9		523			504.31
10		2568			2518.87
11		13101			12929.9
12		67425			68421.9
13		355115			315480
14		1.89101e+06			1.77365e+06
15		1.02446e+07			9.70893e+06
16		5.60511e+07			5.96401e+07

p05.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		1			1
5		3			3
6		15			15
7		54			52.36
8		229			229.68
9		954			927.56
10		4269			4031.72
11		19527			18514.5
12		92763			91329.8
13		449269			389078
14		2.21295e+06			2.14308e+06
15		1.10676e+07			1.38929e+07
16		5.60323e+07			4.42383e+07

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
3		1			1
4		4			4
5		14			14.17
6		46			47.05
7		132			141.07
8		410			411.85
9		1162			1072.87
10		3400			3196.27
11		9656			11055.2

p10.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
5		2			2
6		4			4
7		23			23.48
8		104			102.12
9		623			671
10		3565			3689.07
11		22189			27349.8
12		137422			140436
13		877421			747340
14		5.61268e+06			236901
15		3.64172e+07			4.46119e+07

p04.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		1			1
5		5			5
6		19			18.84
7		80			80.96
8		329			336.92
9		1464			1408.04
10		6501			6064.8
11		29756			32474.2
12		135445			135693
13		619432			658767
14		2.81793e+06			2.26472e+06
15		1.28281e+07			1.15309e+07
16		5.83707e+07			3.84519e+07
17		2.66497e+08			1.46307e+08

p06.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
5		2			2
6		7			7
7		36			35.4
8		158			153.58
9		774			698.2
10		3796			3586.03
11		19359			19961.6
12		100332			97831.5
13		533406			543359
14		2.88877e+06			2.64856e+06
15		1.59937e+07			1.31287e+07

p17.pddl
