	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 100 probes.

transport-opt11-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
74		2			2
75		7			7
76		19			18.9
77		47			46.88
78		111			111.87
79		255			262.98
80		575			576.67
81		1279			1375.15
82		2815			2732.14
83		6143			6258.16
84		13311			13529.8
85		28671			29852.2
86		61439			61736.3
87		131074			137454
88		278546			224169
89		589913			860447
90		1.24553e+06			843805
91		2.62269e+06			1837.75
92		5.50925e+06			1.04747e+07
93		1.15483e+07			6.64611e+07

p19.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
255		2			2
277		5			5
278		9			9
279		14			14
280		22			22.3
281		36			35.01
282		51			54.76
283		69			71.52
284		90			92.45
285		113			120.1
286		140			133.98
287		169			166.73
288		202			207.58
289		237			241.66
290		276			282.83
291		319			335.04
292		366			383.43
293		416			435.1
294		471			445.88
295		534			514
296		603			528.7
297		683			642.63
298		770			665.19
299		875			865.86
300		989			770.15
301		1129			961.89
302		1288			999.64
303		1498			978.48
304		1761			4165.55
305		2137			1841.2
306		2701			7121.95
307		3675			2434.28
308		5440			16321.2
309		8913			6471.63
310		15940			14553.9
311		30602			34609.4
312		61434			55215.8
313		126765			151078
314		265197			306216
315		558506			630944
316		1.17866e+06			1.65297e+06
317		2.48729e+06			2.5293e+06
318		5.24208e+06			6.33531e+06
319		1.10284e+07			9.58967e+06
320		2.31559e+07			2.45546e+07
321		4.85226e+07			2.32521e+07

p18.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
237		2			2
250		5			5
258		7			7
260		9			9
263		13			12.96
265		15			14.64
271		20			20.28
273		25			25
275		28			28.38
276		33			35.77
278		40			40.5
283		42			43.64
284		51			51.92
285		52			51.16
286		70			70.9
287		73			79.15
288		74			76.13
289		88			100.13
290		89			101.13
291		106			111.26
292		109			116.83
293		110			97.1
294		113			110.55
295		114			105.71
296		127			129.11
297		142			151.57
298		151			155.92
299		172			162.05
300		185			183.08
301		197			201.82
302		219			195.74
303		235			204.12
304		277			235.04
305		297			274.93
306		312			356.68
307		355			323.51
308		371			414.99
309		424			349.04
310		475			694.68
311		506			547.6
312		604			585.76
313		663			602.31
314		743			867.5
315		831			743.94
316		899			686.97
317		1057			882.36
318		1171			973.97
319		1289			1208.49
320		1445			1158.61
321		1602			1129.42
322		1829			1293.81
323		2060			1300.81
324		2327			1390.93
325		2696			12533.8
326		3045			2360.97
327		3421			14626.4
328		3906			2035
329		4473			3356.54
330		5211			1936.01
331		5982			2292.79
332		6935			3074.14
333		8121			93209.8
334		9472			13095.4
335		11291			5990.68
336		13558			5900.52
337		16525			4976.1
338		21056			7664.47
339		27913			9421.79
340		39550			20632.8
341		60936			63702.3
342		101221			51044.6
343		181953			40634.1
344		342354			47178.1
345		672613			597439
346		1.34226e+06			2.21636e+06
347		2.733e+06			56991
348		5.56647e+06			8.45243e+06
349		1.14589e+07			77875.9
350		2.3474e+07			179531
351		4.84345e+07			375527

p15.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
262		1			1
270		2			2
287		3			3
288		4			4
289		5			5
290		6			6
291		7			7
292		9			9
293		11			11
294		14			14
295		18			17.78
296		23			22.68
297		29			28.46
298		36			36.2
299		44			45.06
300		54			53.8
301		65			66.6
302		79			81.44
303		94			92.87
304		113			114.44
305		133			136.42
306		158			167.29
307		184			177.22
308		216			211.53
309		249			244.87
310		289			304.47
311		330			346.6
312		379			372.6
313		429			425.2
314		489			471.58
315		550			618.34
316		621			549.14
317		694			620.64
318		779			406.84
319		867			560.56
320		968			936.06
321		1073			1197.76
322		1194			1140.78
323		1321			651.18
324		1467			961.62
325		1622			858.14
326		1802			957.22
327		1996			1020.36
328		2221			2012.48
329		2468			438.48
330		2758			2008.78
331		3078			1536.68
332		3460			1947.06
333		3883			1200.95
334		4403			1156.93
335		4980			688.11
336		5716			752.85
