	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 100 probes.

tidybot-opt11-strips

p07.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
7		2			2
8		10			9.85
9		48			46.86
10		227			217.93
11		963			1019.61
12		3961			4105.47
13		16426			13736.3
14		64093			59065.6
15		257457			246048
16		975342			999716
17		3.78642e+06			3.32911e+06

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
1		1			1
2		8			8
3		49			49.44
4		278			282.61

p03.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		1			1
7		5			5.17
8		25			24.59
9		115			116.72
10		497			440.55
11		2115			1830.35
12		8801			9596
13		35920			27678.2
14		145400			127622
15		574649			476564
16		2.27658e+06			2.88066e+06
