	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 100 probes.

blocks

probBLOCKS-5-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		1			1
7		3			3
8		7			7
9		18			18.08
10		43			43.72
11		149			153.32
12		348			374.18
13		1482			1346.38
14		3582			3766.62
15		16187			16595.3
16		42071			38465.6

probBLOCKS-8-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
5		1			1
6		7			7
7		56			55.55
8		282			285.81
9		2012			2137.46
10		7713			7904.4
11		59229			53802.4
12		189873			198469
13		1.59743e+06			1.69072e+06
14		4.5786e+06			4.97971e+06
15		4.16095e+07			4.25592e+07
16		1.11177e+08			1.33817e+08

probBLOCKS-6-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		1			1
6		7			7
7		15			16.44
8		51			50.4
9		178			186.08
10		507			554.8
11		2383			2038
12		6488			6703.16

probBLOCKS-4-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
3		1			1
4		4			4
5		12			12
6		50			48.52

probBLOCKS-8-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		1			1
6		17			16.52
7		47			43.72
8		267			282.88
9		1209			1319.16
10		4770			4761.08
11		29180			31835.4
12		94565			110275
13		703899			497911
14		2.0286e+06			2.39125e+06
15		1.71776e+07			1.45839e+07
16		4.60757e+07			4.07327e+07
17		4.24936e+08			4.84229e+08
18		1.09013e+09			1.53195e+09

probBLOCKS-4-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
5		1			1
6		3			3
7		7			7
8		17			16.9
9		41			40.44
10		124			122.82

probBLOCKS-5-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
5		1			1
6		4			4
7		13			13.04
8		37			36.8
9		132			128.52
10		366			346.62
11		1393			1482.14
12		4109			3425.86

probBLOCKS-7-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		1			1
7		4			4
8		14			14.24
9		44			43.6
10		169			186.19
11		608			662.51
12		2294			2202.48
13		10272			10674.6
14		34488			37550.3
15		190288			209380
16		568439			663270
17		3.68159e+06			3.10107e+06
18		1.01375e+07			9.58106e+06
19		7.31583e+07			1.14521e+08
20		1.92064e+08			2.08234e+08

probBLOCKS-5-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		1			1
5		5			5
6		17			17.1
7		71			68.77
8		214			222.89
9		820			842.75
10		2627			2458.77

probBLOCKS-6-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
7		1			1
8		3			3
9		7			7
10		19			19.02
11		56			55.9
12		173			169.48
13		679			676.3
14		1991			1900.54
15		9614			9642.42
16		26453			24120.3
17		142971			143814
18		384894			402782
19		2.18703e+06			2.04197e+06
20		5.91226e+06			7.05483e+06

probBLOCKS-4-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
2		1			1
4		12			11.84
5		21			21
6		114			115.8

probBLOCKS-7-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
9		3			3
10		7			7
11		19			19.14
12		61			62.82
13		218			218.96
14		800			871.1
15		3599			3182.02
16		12227			12344.5
17		66521			65109.7
18		201967			220982
19		1.27108e+06			1.33571e+06
20		3.55652e+06			3.18929e+06

probBLOCKS-6-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
3		1			1
4		4			4
5		28			28
6		94			93.76
7		542			537.28
8		1778			1671.9
9		9824			10507.1
10		31354			30559.2
