	Experiment 1:		Using hmax heuristic - 10 probes in 24 hours.

Domain                             ida*      ida* time       ss error        ss time              n

blocks                      2.85103e+07        3030.97       0.172196        0.10231             35
barman-opt11-strips         8.83599e+06        6016.38       0.446072       0.324717             20
elevators-opt08-strips           923397        4795.09       0.480948         11.127             30
elevators-opt11-strips           966309        4759.72       0.422764        9.84964             20
floortile-opt11-strips      3.05223e+07        3919.72       0.617054      0.0693333              2
nomystery-opt11-strips      6.56574e+06        3256.86       0.262515       0.376118             20
openstacks-opt08-adl                ---            ---            ---            ---            ---
openstacks-opt08-strips         73087.3        2669.55      0.0425308        800.369             30
openstacks-opt11-strips         62942.4        3156.36      0.0263472        774.855             20
parcprinter-opt11-strips              1              0              0          0.035             20
parking-opt11-strips             374925         5607.5      0.0354648         11.362             20
pegsol-opt11-strips             68763.7        4.99909       0.042938      0.0390909             20
scanalyzer-opt11-strips     8.25785e+06        4808.75       0.246526        28.7873             20
sokoban-opt08-strips        2.65789e+06        3385.95       0.223213        1.95192             30
sokoban-opt11-strips        3.11853e+06        3932.69        0.25594        2.00026             20
tidybot-opt11-strips             431336        5465.62         1072.4          26.48             20
transport-opt08-strips      1.46264e+06        957.415       0.355709        2.56777             27
transport-opt11-strips      2.62288e+06        2253.51       0.543753       0.605691             20
visitall-opt11-strips       7.10324e+07        3704.78      0.0376719      0.0515021             20
woodworking-opt08-strips    4.17008e+06        4055.03       0.567675        1.43955             30
woodworking-opt11-strips    5.13907e+06        4944.76       0.686626        1.32673             20
